location_id,requested_lon,requested_lat,model_lon,model_lat,model_elevation_m,time_local,time_utc,timezone,utc_offset_seconds,generationtime_ms,request_time_utc,download_time_utc,time_mode,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,precipitation,rain,showers,precipitation_probability,weather_code,cape,boundary_layer_height,risk_wind_120m,risk_gust_10m,risk_precipitation,risk_cape,risk_visibility,weather_risk_0_1,weather_no_fly
0,105.5235,20.9915,105.51724,20.984182,21.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.6865262985229492,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,999.8,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
1,105.5335,20.9915,105.51724,20.984182,21.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.28645992279052734,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,999.8,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
2,105.5435,20.9915,105.51724,20.984182,14.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.3923177719116211,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,1000.6,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
3,105.5535,20.9915,105.51724,20.984182,10.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.29528141021728516,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,1001.1,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
4,105.5635,20.9915,105.60852,20.984182,10.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.1995563507080078,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.8,72,26.0,36.9,1002.2,1001.1,97,0,2,97,19400.0,4.21,6.42,6.72,7.58,138,141,141,147,8.6,0.0,0.0,0.0,23,95,3590.0,560.0,0.172,0.04999999999999997,0.0,1.0,0.0,1.0,1
5,105.5135,21.0015,105.51724,20.984182,31.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.18906593322753906,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,998.7,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
6,105.5235,21.0015,105.51724,20.984182,20.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.2608299255371094,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,1000.0,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
7,105.5335,21.0015,105.51724,20.984182,13.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.20456314086914062,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,1000.7,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
8,105.5435,21.0015,105.51724,20.984182,17.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.17440319061279297,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,1000.3,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
9,105.5535,21.0015,105.51724,20.984182,9.0,2026-06-16T11:00,2026-06-16T11:00,GMT,0,0.20170211791992188,2026-06-16T11:00:00Z,2026-06-16T11:26:47Z,auto_forecast,31.5,74,26.3,37.5,1002.2,1001.2,98,0,10,98,12180.0,3.05,5.18,5.42,6.16,122,128,128,136,6.6,0.0,0.0,0.0,23,95,4000.0,395.0,0.041999999999999996,0.0,0.0,1.0,0.0,1.0,1
