location_id,requested_lon,requested_lat,model_lon,model_lat,model_elevation_m,time_local,time_utc,timezone,utc_offset_seconds,generationtime_ms,request_time_utc,download_time_utc,time_mode,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,precipitation,rain,showers,precipitation_probability,weather_code,cape,boundary_layer_height,risk_wind_120m,risk_gust_10m,risk_precipitation,risk_cape,risk_visibility,weather_risk_0_1,weather_no_fly
21,105.5535,21.0215,105.533,21.05448,13.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.19931793212890625,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,28.1,90,26.3,35.4,1006.5,1005.0,100,100,35,100,11260.0,0.51,0.54,0.56,0.62,169,175,175,209,3.4,0.0,0.0,0.0,59,95,3200.0,335.0,0.0,0.0,0.0,1.0,0.0,1.0,1
22,105.5635,21.0215,105.533,21.05448,9.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.15664100646972656,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,28.1,90,26.3,35.4,1006.5,1005.5,100,100,35,100,11260.0,0.51,0.54,0.56,0.62,169,175,175,209,3.4,0.0,0.0,0.0,59,95,3200.0,335.0,0.0,0.0,0.0,1.0,0.0,1.0,1
23,105.53959,21.006008,105.51724,20.984182,16.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.1933574676513672,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.7,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
24,105.5035,21.0145,105.51724,20.984182,18.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.17654895782470703,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.4,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
25,105.5125,20.9935,105.51724,20.984182,38.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.2529621124267578,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1002.2,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
26,105.531,20.9815,105.51724,20.984182,29.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.2541542053222656,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1003.2,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
27,105.5565,20.9845,105.51724,20.984182,17.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.2092123031616211,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,27.9,92,26.5,35.4,1006.5,1004.6,100,86,47,100,5940.0,0.32,0.45,0.47,0.69,252,257,257,249,5.5,0.2,0.0,0.2,59,96,3430.0,330.0,0.0,0.0,0.02040816326530612,1.0,0.45111111111111113,1.0,1
28,105.5735,20.9985,105.60852,20.984182,12.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.202178955078125,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,28.1,91,26.5,35.5,1006.4,1005.0,100,100,48,100,5620.0,0.5,0.54,0.57,0.61,143,153,153,194,6.0,0.0,0.0,0.0,59,95,3190.0,335.0,0.0,0.0,0.0,1.0,0.4866666666666667,1.0,1
29,105.5705,21.019,105.60852,20.984182,8.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.274658203125,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,28.1,91,26.5,35.5,1006.4,1005.5,100,100,48,100,5620.0,0.5,0.54,0.57,0.61,143,153,153,194,6.0,0.0,0.0,0.0,59,95,3190.0,335.0,0.0,0.0,0.0,1.0,0.4866666666666667,1.0,1
30,105.548,21.0285,105.533,21.05448,13.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.25403499603271484,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,28.1,90,26.3,35.4,1006.5,1005.0,100,100,35,100,11260.0,0.51,0.54,0.56,0.62,169,175,175,209,3.4,0.0,0.0,0.0,59,95,3200.0,335.0,0.0,0.0,0.0,1.0,0.0,1.0,1
31,105.5205,21.027,105.533,21.05448,20.0,2026-06-17T01:00,2026-06-17T01:00,GMT,0,0.19991397857666016,2026-06-17T01:00:00Z,2026-06-17T01:26:15Z,auto_forecast,28.1,90,26.3,35.4,1006.5,1004.2,100,100,35,100,11260.0,0.51,0.54,0.56,0.62,169,175,175,209,3.4,0.0,0.0,0.0,59,95,3200.0,335.0,0.0,0.0,0.0,1.0,0.0,1.0,1
