source,height_m,footprint_area_m2,volume_m3,centroid_lon,centroid_lat
GBA,1.8112149238586426,15.446176436384931,27.976345278134094,105.5315767456828,20.981604137708814
GBA,2.141993284225464,55.2149332997399,118.27001631699979,105.53151464849866,20.981633727543446
GBA,1.9659967422485352,11.047887666092363,21.720111160265358,105.5318578673673,20.981699241222234
GBA,2.4997243881225586,44.291108059514684,110.71556299334047,105.5315063386075,20.981708242075836
GBA,2.875037670135498,53.05811727267404,152.54408586540478,105.53190405659994,20.981776017977175
GBA,3.8666586875915527,34.30118935927114,132.63099183074868,105.53132636370273,20.98195361264856
GBA,6.050135612487793,149.45376493654555,904.2155456629737,105.53140024417716,20.98196351082338
GBA,3.8981738090515137,21.85005848677319,85.175325719383,105.53132559096687,20.982025553260907
GBA,3.21274995803833,47.02138164652428,151.0679419117752,105.53127562448125,20.982030023998504
GBA,3.585845470428467,14.872872948048991,53.331824093019556,105.53136531279176,20.982064334763155
GBA,0.36664023995399475,17.692797328375555,6.486891457933011,105.532489559233,20.982087023656543
GBA,3.2609713077545166,11.49863930535559,37.49673285298291,105.53123740381626,20.982090674008454
GBA,0.23105794191360474,43.957054555947224,10.156626558281207,105.53200887090549,20.982135251518418
GBA,1.5545556545257568,70.82173152655035,110.09632320790391,105.53253320829603,20.982137389873383
GBA,0.5060182809829712,18.833660728109393,9.53017662625441,105.53196046411348,20.982168633923663
GBA,1.346341609954834,49.80972466850976,67.06090490160844,105.53208798879375,20.982182601593816
GBA,2.2359731197357178,32.172974407870825,71.93790595794434,105.53202056400674,20.982199358666385
GBA,6.158808708190918,198.67994003361446,1223.631744821874,105.53119997002746,20.98220006026102
GBA,1.9850178956985474,15.891338622687906,31.544591552641,105.53194173025877,20.982205533244887
GBA,5.0915679931640625,37.31943162756339,190.01442359797636,105.53199773802893,20.982236019471387
GBA,2.9520862102508545,38.77524889343728,114.4678775573609,105.53208825527254,20.98223653400993
GBA,2.540360450744629,15.227326619205828,38.682898314001406,105.53191275308701,20.982238122532852
GBA,3.2495665550231934,13.82382849475348,44.92145073892752,105.53130274995544,20.982279097186748
GBA,4.884539604187012,68.90427822468027,336.5656758863715,105.5320851093442,20.982284002889354
GBA,5.796863079071045,52.22825907826643,302.7600667349598,105.53204967260535,20.982316094790317
GBA,4.447606086730957,9.706608978562674,43.17117317457271,105.53121514567628,20.982362230790365
GBA,4.5721435546875,118.4214600000211,541.43991507578,105.53227174745423,20.982394519850935
GBA,4.106266021728516,35.16718580472724,144.40582014976485,105.5312589025044,20.98240838712502
GBA,5.719189643859863,51.938888031173406,297.04835054148396,105.53132123594486,20.982441884684558
GBA,4.476579189300537,189.43157102990196,848.0054286689656,105.53122182358386,20.982483536940162
GBA,3.586604356765747,27.004465404335882,96.85433327132097,105.53385396282502,20.98206943007222
GBA,5.029762268066406,150.0199020942683,754.5644430127671,105.5340558013656,20.982127189538986
GBA,4.36003303527832,55.93119818400268,243.8618717849505,105.53448044179044,20.982426465688242
GBA,3.9191527366638184,38.65914825606891,151.51110668486476,105.53454401713728,20.98246089823204
GBA,3.8308143615722656,64.87777172837067,248.53469968384948,105.53460777102164,20.982507749766874
GBA,3.27518892288208,46.714027653117185,152.99726591269658,105.53371721853996,20.982538763020365
GBA,4.07102108001709,42.631341934217474,173.55309168361586,105.53455348393749,20.982554846128195
GBA,5.219670295715332,88.64065656916037,462.6750020867505,105.53471442898098,20.982588969011534
GBA,5.538734436035156,34.32373525468745,190.1100544284913,105.53465862457746,20.982726984358877
GBA,5.602245807647705,1127.0199504694049,6313.842792652547,105.53300564304288,20.98274755711727
GBA,4.664975166320801,14.854278326731343,69.29483950781902,105.53221731343682,20.982500677139825
GBA,3.817681074142456,47.23228925738685,180.31781678634783,105.5321255993364,20.982526213677374
GBA,3.817681074142456,61.98695526412132,236.64642595555105,105.53220163739185,20.98256721723019
GBA,1.5619784593582153,29.37003202997101,45.87535738147556,105.5322678946414,20.982606352361042
GBA,1.191723108291626,183.76096989773825,218.99219422921655,105.5312287461941,20.982743721862594
GBA,0.21798403561115265,42.54562262282982,9.274266516913597,105.5316499073373,20.98275455467196
GBA,0.9355486631393433,50.470204433782705,47.217332286394765,105.5317282523678,20.982801913610235
GBA,1.5616205930709839,153.34306623603806,239.4636900388449,105.53127584733345,20.98287452170852
GBA,4.762051105499268,78.14899749984275,372.14951993778567,105.5318910805415,20.982894340226935
GBA,4.6007280349731445,33.95041123536437,156.1966087694081,105.53197108762147,20.98293825947286
GBA,2.7021377086639404,548.9937486654846,1483.4567100897798,105.53098586462364,20.98261866714328
GBA,3.583712577819824,401.45935721105604,1438.7149479207233,105.53099683353422,20.982781297047122
GBA,3.1402766704559326,117.0585090992928,367.5961052028627,105.53082207415022,20.982940691680536
GBA,6.333797454833984,392.308123885954,2484.8001965795506,105.52919341167049,20.9830340942282
GBA,2.3523552417755127,74.17977823083645,174.49719015505318,105.53080168906398,20.983085630315163
GBA,5.829903602600098,212.9636564995291,1241.5575882494943,105.5306586059497,20.983298637630618
GBA,1.6158958673477173,124.03711394181107,200.43105981631044,105.53029816524962,20.98330514262683
