source,height_m,footprint_area_m2,volume_m3,centroid_lon,centroid_lat
OBM,3.0,63.087039675593296,189.26111902677988,105.56655237445788,20.994517360888196
OBM,3.0,38.997544011029305,116.99263203308792,105.56664404149767,20.994582934236515
OBM,3.0,23.899995045976123,71.69998513792837,105.56714295335942,20.99464412761399
OBM,3.0,14.75120022079372,44.25360066238116,105.56709739197996,20.99465251762843
OBM,3.0,122.21235732082556,366.6370719624767,105.566182466191,20.994697953546723
OBM,3.0,72.39835994703623,217.19507984110868,105.56645334449394,20.995066812588707
OBM,3.0,42.4898382392651,127.46951471779529,105.56650295988916,20.995160042485665
OBM,4.5,64.40597050996055,289.8268672948225,105.56714552429959,20.99470714803167
OBM,3.0,49.604127349442386,148.81238204832715,105.566793447836,20.994718749651852
OBM,4.5,80.40850151785236,361.8382568303356,105.56705930724138,20.994737021894505
OBM,4.5,73.06555981373711,328.795019161817,105.56734079999573,20.9947467500005
OBM,4.5,40.57024393477393,182.56609770648268,105.56716785160138,20.99475955856027
OBM,3.0,45.649968882912674,136.94990664873802,105.56669273090893,20.99476159122604
OBM,4.5,145.94086334070053,656.7338850331524,105.56725487628046,20.994770084632787
OBM,4.5,39.059817617915215,175.76917928061846,105.56745893055133,20.994777884754818
OBM,4.5,45.27310075787541,203.72895341043935,105.56708845430042,20.99478938797337
OBM,4.5,37.182306326385486,167.3203784687347,105.56717571693554,20.994812697633513
OBM,4.5,76.09774815335572,342.43986669010076,105.56711158703487,20.99484368917708
OBM,4.5,36.6757450233742,165.0408526051839,105.56704249353719,20.994853188875
OBM,3.0,39.341974722385174,118.02592416715552,105.5669034175029,20.99486464385714
OBM,3.0,43.65099323996039,130.95297971988117,105.56683850110137,20.994905926121717
OBM,3.0,54.33229384472907,162.99688153418722,105.56695643105954,20.99494625471683
OBM,4.5,63.30439727054896,284.86978771747033,105.56688614607228,20.9949878085029
OBM,4.5,72.5938110798806,326.6721498594627,105.56702218158934,20.99500147381928
OBM,4.5,74.72803512855182,336.2761580784832,105.56660397506325,20.99500288552497
OBM,4.5,27.92247927343038,125.65115673043671,105.56661452210643,20.99507252483565
OBM,4.5,36.21585150886013,162.9713317898706,105.56664566009088,20.995111923045986
OBM,3.0,17.135546215572894,51.40663864671868,105.56656559797875,20.99511623427749
OBM,4.5,54.00548273115884,243.0246722902148,105.56721533161844,20.995153315967496
OBM,4.5,35.197939175520254,158.39072628984115,105.5667896831495,20.995174600711557
OBM,3.0,21.175536871614867,63.5266106148446,105.56714891334425,20.995197451918173
OBM,4.5,23.328008980745807,104.97604041335613,105.56671446510977,20.99520665344322
OBM,4.5,29.006283662185368,130.52827647983415,105.56680285348371,20.995219346425326
OBM,3.0,16.60312163950926,49.809364918527784,105.56656184119393,20.995241369021958
OBM,4.5,79.12193119564525,356.0486903804036,105.56722737933235,20.995246609093865
OBM,4.5,62.07434276080185,279.3345424236083,105.56666865714381,20.99524913296289
OBM,3.0,24.597789491728392,73.79336847518518,105.56672886633483,20.99525286320707
OBM,3.0,132.48273292101953,397.4481987630586,105.56754909999411,20.995262800005662
OBM,4.5,50.97929610632426,229.4068324784592,105.56726245602796,20.995286705525505
OBM,4.5,11.240539482710076,50.582427672195344,105.5665775739209,20.995287559652066
OBM,4.5,19.052101752221937,85.73445788499872,105.56652701879652,20.995311565435586
OBM,4.5,25.990262407613418,116.95618083426038,105.56663599357587,20.995314203591175
OBM,4.5,46.96475736051475,211.34140812231638,105.56729302327192,20.99533578684553
OBM,4.5,38.947523927933794,175.26385767570207,105.56740597146035,20.995353983669247
OBM,4.5,46.92331306087175,211.15490877392287,105.5669255799361,20.995355160991497
OBM,3.0,15.038323358222929,45.11497007466879,105.56680010249555,20.995368432704822
OBM,4.5,57.78526679141845,260.03370056138306,105.56687985586008,20.99537273582818
OBM,4.5,57.0970824688045,256.93687110962026,105.5666374085555,20.995372840300064
OBM,3.0,43.662558206162174,130.98767461848652,105.566744282102,20.995389472071142
OBM,4.5,102.19930324883735,459.8968646197681,105.5671829944541,20.99540568981047
OBM,4.5,57.37705500357697,258.19674751609637,105.56680941126753,20.995409897910193
OBM,4.5,100.68222938569997,453.0700322356499,105.56703331473541,20.9954169096299
OBM,4.5,32.52080184827171,146.3436083172227,105.56756526071607,20.995422714493383
OBM,4.5,41.61497137423126,187.26737118404066,105.56727076670548,20.99546164914116
OBM,4.5,18.45611908829432,83.05253589732443,105.56754125707324,20.995473133980166
OBM,4.5,80.64426171354549,362.8991777109547,105.56747148200519,20.99549996655322
OBM,4.5,55.8804603375516,251.46207151898219,105.567527414844,20.99552293163359
OBM,4.5,13.50940984983027,60.79234432423621,105.56838198297578,20.994297250961097
OBM,4.5,39.966852457817204,179.85083606017741,105.56866060977762,20.99455760344843
OBM,4.5,32.51712227618797,146.32705024284587,105.56871514157874,20.994596503019594
OBM,4.5,28.464601592301673,128.09070716535751,105.56865763892596,20.994616471449294
OBM,3.0,29.340232580104434,88.0206977403133,105.56846893870652,20.994380202256174
