source,n_buildings,height_column_used,height_valid_count,height_missing_count,height_min_m,height_mean_m,height_median_m,height_max_m,footprint_area_valid_count,footprint_area_total_m2,footprint_area_mean_m2,footprint_area_median_m2,footprint_area_max_m2,volume_total_m3,volume_mean_m3,volume_median_m3,volume_max_m3
OBM,22599,height_m,22599,0,3.0,4.668060533651931,4.5,69.0,22599,1918668.4262917084,84.90058968501741,47.12817762728003,46602.65937616452,10016573.971132137,443.2308496452116,213.30906726278664,419423.9343854807
GBA,14894,height_m,14894,0,0.011438543908298016,3.832255940458772,3.8217949867248535,40.2683219909668,14894,1607551.9009624878,107.93285221985282,51.433045901431214,46602.6981950634,7731619.3641109215,519.1096659131813,187.72767795554478,276915.93099677877
