order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,backward,1,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
1,DB02_to_DK02,backward,1,105.54280233880797,21.020618393050118,437.490023636173,1740.593053222029,0.0
2,DB02_to_DK02,backward,1,105.54288709738006,21.01697302704608,446.2884680408242,1335.2468478105793,0.0
3,DB02_to_DK02,backward,1,105.54399772907777,21.013848813587803,561.5786505571118,987.8501614953861,0.0
4,DB02_to_DK02,backward,1,105.5406337815876,21.00919594792003,212.38087336649266,470.4751048806106,0.0
5,DB02_to_DK02,backward,1,105.54135519546209,21.003977212806817,287.2679285720317,-109.82176321072814,0.0
6,DB02_to_DK02,backward,1,105.54518163306132,21.002028785092293,684.4749325787467,-326.47703999915734,0.0
7,DB02_to_DK02,backward,1,105.545211366994,21.001582312742897,687.5614918157668,-376.12250013907743,0.0
8,DB02_to_DK02,backward,1,105.54974399984417,20.99994490883838,1158.0757672991524,-558.1935071894848,0.0
9,DB02_to_DK02,backward,1,105.55348916981767,20.99693992479552,1546.8467079179877,-892.3324874032123,0.0
10,DB02_to_DK02,backward,1,105.5520978202781,20.99133347125456,1402.4163421266521,-1515.7416776265854,0.0
11,DB02_to_DK02,backward,1,105.55376249637123,20.98787831107565,1575.219631464432,-1899.937960265651,0.0
12,DB02_to_DK02,backward,1,105.55344911411109,20.98446878549515,1542.6886870979552,-2279.0599070821845,0.0
13,DB02_to_DK02,backward,1,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
