order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,forward,3,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
1,DB02_to_DK02,forward,3,105.54171332925822,20.989196869383495,324.4443488067992,-1753.3209659481624,0.0
2,DB02_to_DK02,forward,3,105.54270635456099,20.992119545474264,427.5262873444039,-1428.3342124295182,0.0
3,DB02_to_DK02,forward,3,105.54353412675773,20.99445943627398,513.4539696179778,-1168.1502265984818,0.0
4,DB02_to_DK02,forward,3,105.54505787553035,20.997265230180666,671.6281640569368,-856.1601789650501,0.0
5,DB02_to_DK02,forward,3,105.54734251243585,20.99945202064412,908.7870767388911,-613.0001737939281,0.0
6,DB02_to_DK02,forward,3,105.54830599026211,21.000478165270618,1008.801811299821,-498.89809732397015,0.0
7,DB02_to_DK02,forward,3,105.5495828835348,21.001455611422227,1141.350935158076,-390.2110441969815,0.0
8,DB02_to_DK02,forward,3,105.54973706315624,21.002095445779624,1157.3556977942865,-319.0647097613414,0.0
9,DB02_to_DK02,forward,3,105.54875618389794,21.005002336449667,1055.5345909864407,4.16678505769562,0.0
10,DB02_to_DK02,forward,3,105.54856681394077,21.00748827313896,1035.8768619930065,280.5903328667978,0.0
11,DB02_to_DK02,forward,3,105.54835184553559,21.010507715661927,1013.5618616920389,616.3370227156429,0.0
12,DB02_to_DK02,forward,3,105.54737951830997,21.012859320700233,912.6285067928801,877.823572446986,0.0
13,DB02_to_DK02,forward,3,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
