order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,forward,5,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
1,DB02_to_DK02,forward,5,105.54060831273395,20.985717981172524,209.73705472550597,-2140.1556853717393,0.0
2,DB02_to_DK02,forward,5,105.5427721134105,20.98892117401019,434.35244742799205,-1783.9768927589685,0.0
3,DB02_to_DK02,forward,5,105.54524789034251,20.99123446652886,691.352832838301,-1526.7505008382225,0.0
4,DB02_to_DK02,forward,5,105.54773256735245,20.995481472792203,949.2770993273804,-1054.5049509268254,0.0
5,DB02_to_DK02,forward,5,105.5481357085757,20.99745013681853,991.12555845565,-835.5994989315249,0.0
6,DB02_to_DK02,forward,5,105.54851484003115,20.9984250307608,1030.4816607405564,-727.1962385346808,0.0
7,DB02_to_DK02,forward,5,105.5485834168285,20.999405849969445,1037.6003405870285,-618.1341185775976,0.0
8,DB02_to_DK02,forward,5,105.55005516782043,21.001512521019094,1190.3768558159354,-383.882985747942,0.0
9,DB02_to_DK02,forward,5,105.55090780558844,21.004467985954314,1278.8857324265457,-55.250279075683125,0.0
10,DB02_to_DK02,forward,5,105.55075554711001,21.00855385985978,1263.0803958758663,399.0781701216811,0.0
11,DB02_to_DK02,forward,5,105.54929247280808,21.012556446761568,1111.2045727264006,844.1455270545691,0.0
12,DB02_to_DK02,forward,5,105.54913720917055,21.015111030722224,1095.0872827687813,1128.2023031669175,0.0
13,DB02_to_DK02,forward,5,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
