x,y,z,slowness,label,label_prefix,order,node_index,pair_name,direction,route_rank,x_m,y_m,flyable
105.54484413,21.00539997,0.0,0.04079755,N,,43,7877,DB02_to_DK02,backward,10,649.4401054451326,48.38161851838095,True
105.54484249,21.0049482,0.0,0.03839887,N,,44,7730,DB02_to_DK02,backward,10,649.2698636803643,-1.852913491604968,True
105.54484085,21.00449644,0.0,0.03613751,N,,45,7583,DB02_to_DK02,backward,10,649.0996219170712,-52.08633355262748,True
105.54483921,21.00404468,0.0,0.03402868,N,,46,7436,DB02_to_DK02,backward,10,648.9293801537781,-102.31975361365,True
105.54483757,21.00359292,0.0,0.03208687,N,,47,7289,DB02_to_DK02,backward,10,648.7591383890098,-152.55317367467248,True
105.54483593,21.00314116,0.0,0.03032567,N,,48,7142,DB02_to_DK02,backward,10,648.5888966257166,-202.78659373569502,True
105.54483429,21.0026894,0.0,0.02875758,N,,49,6995,DB02_to_DK02,backward,10,648.4186548609483,-253.02001379632247,True
105.54531374,21.00223609,0.0,0.02880678,N,,50,6849,DB02_to_DK02,backward,10,698.1884193305712,-303.42578599368295,True
105.5453121,21.00178433,0.0,0.02767491,N,,51,6702,DB02_to_DK02,backward,10,698.0181775672779,-353.65920605470546,True
105.54579318,21.00178279,0.0,0.02931054,N,,52,6703,DB02_to_DK02,backward,10,747.9571457413091,-353.83044624168497,True
105.54579154,21.00133103,0.0,0.02841418,N,,53,6556,DB02_to_DK02,backward,10,747.786903976541,-404.0638663027075,True
105.54578989,21.00087927,0.0,0.02773987,N,,54,6409,DB02_to_DK02,backward,10,747.6156241528879,-454.29728636373,True
105.54578825,21.00042751,0.0,0.02729268,N,,55,6262,DB02_to_DK02,backward,10,747.4453823895948,-504.5307064243575,True
105.54530717,21.00042905,0.0,0.02562065,N,,56,6261,DB02_to_DK02,backward,10,697.5064142155635,-504.35946623737794,True
105.5448261,21.00043059,0.0,0.02415839,N,,57,6260,DB02_to_DK02,backward,10,647.5684841004169,-504.18822605039844,True
105.54482446,20.99997883,0.0,0.0239343,N,,58,6113,DB02_to_DK02,backward,10,647.3982423371239,-554.421646111421,True
105.54434338,20.99998036,0.0,0.02268946,N,,59,6112,DB02_to_DK02,backward,10,597.4592741630925,-554.2515178737998,True
105.5438623,20.9999819,0.0,0.02167462,N,,60,6111,DB02_to_DK02,backward,10,547.5203059890612,-554.0802776864253,True
105.54386067,20.99953014,0.0,0.02169081,N,,61,5964,DB02_to_DK02,backward,10,547.3511022846527,-604.3136977474478,True
105.54337959,20.99953168,0.0,0.02091358,N,,62,5963,DB02_to_DK02,backward,10,497.4121341106214,-604.1424575604683,True
105.54289688,20.99908145,0.0,0.02064467,N,,63,5815,DB02_to_DK02,backward,10,447.3039622321817,-654.2057493838697,True
105.54289525,20.99862969,0.0,0.02115647,N,,64,5668,DB02_to_DK02,backward,10,447.1347585277731,-704.4391694444972,True
105.54337632,20.99862815,0.0,0.02168632,N,,65,5669,DB02_to_DK02,backward,10,497.0726886414446,-704.6104096318718,True
105.54337469,20.99817639,0.0,0.02243697,N,,66,5522,DB02_to_DK02,backward,10,496.9034849370361,-754.8438296924993,True
105.54337305,20.99772463,0.0,0.02342363,N,,67,5375,DB02_to_DK02,backward,10,496.733243173743,-805.0772497535218,True
105.54337142,20.99727287,0.0,0.02463901,N,,68,5228,DB02_to_DK02,backward,10,496.56403946933455,-855.3106698145442,True
105.54385249,20.99727133,0.0,0.02538703,N,,69,5229,DB02_to_DK02,backward,10,546.5019695844811,-855.4819100015237,True
105.54385085,20.99681957,0.0,0.02681096,N,,70,5082,DB02_to_DK02,backward,10,546.3317278197128,-905.7153300625463,True
105.54336815,20.99636934,0.0,0.02771882,N,,71,4934,DB02_to_DK02,backward,10,496.2245940016328,-955.7786218855526,True
105.54336651,20.99591758,0.0,0.02956098,N,,72,4787,DB02_to_DK02,backward,10,496.05435223686453,-1006.0120419465752,True
105.54336488,20.99546582,0.0,0.03158768,N,,73,4640,DB02_to_DK02,backward,10,495.885148532456,-1056.2454620075976,True
105.54336324,20.99501405,0.0,0.03378481,N,,74,4493,DB02_to_DK02,backward,10,495.71490676916284,-1106.4799940175835,True
105.54288218,20.99501559,0.0,0.03332014,N,,75,4492,DB02_to_DK02,backward,10,445.7780147143761,-1106.308753830604,True
105.54288055,20.99456383,0.0,0.03568523,N,,76,4345,DB02_to_DK02,backward,10,445.60881100996755,-1156.5421738916266,True
105.54287892,20.99411206,0.0,0.03819061,N,,77,4198,DB02_to_DK02,backward,10,445.439607305559,-1206.7767059020077,True
105.54287728,20.9936603,0.0,0.04081969,N,,78,4051,DB02_to_DK02,backward,10,445.2693655407907,-1257.01012596303,True
105.54239623,20.99366183,0.0,0.04059176,N,,79,4050,DB02_to_DK02,backward,10,395.3335115448885,-1256.839997725014,True
105.5423946,20.99321007,0.0,0.04333558,N,,80,3903,DB02_to_DK02,backward,10,395.16430784048003,-1307.0734177860365,True
105.54239296,20.99275831,0.0,0.04616939,N,,81,3756,DB02_to_DK02,backward,10,394.9940660771869,-1357.306837847059,True
105.54239133,20.99230655,0.0,0.04907599,N,,82,3609,DB02_to_DK02,backward,10,394.82486237277845,-1407.5402579080815,True
105.54190865,20.99185632,0.0,0.0520128,N,,83,3461,DB02_to_DK02,backward,10,344.7198046724677,-1457.603549731088,True
105.54190702,20.99140455,0.0,0.05369948,N,,84,3314,DB02_to_DK02,backward,10,344.5506009680592,-1507.8380817414688,True
105.54190539,20.99095279,0.0,0.05084172,N,,85,3167,DB02_to_DK02,backward,10,344.38139726365074,-1558.0715018020965,True
105.54142271,20.99050256,0.0,0.04719618,N,,86,3019,DB02_to_DK02,backward,10,294.27633956481515,-1608.1347936254979,True
105.54142109,20.9900508,0.0,0.04443689,N,,87,2872,DB02_to_DK02,backward,10,294.10817391929135,-1658.3682136865202,True
105.54141946,20.98959903,0.0,0.04176876,N,,88,2725,DB02_to_DK02,backward,10,293.93897021488283,-1708.602745696506,True
105.54141783,20.98914727,0.0,0.03920871,N,,89,2578,DB02_to_DK02,backward,10,293.76976651047437,-1758.8361657575288,True
105.54093516,20.98869704,0.0,0.03600648,N,,90,2430,DB02_to_DK02,backward,10,243.66574687052344,-1808.8994575805352,True
105.54093353,20.98824527,0.0,0.03369043,N,,91,2283,DB02_to_DK02,backward,10,243.49654316611495,-1859.1339895909161,True
105.54093191,20.98779351,0.0,0.03153204,N,,92,2136,DB02_to_DK02,backward,10,243.32837752059106,-1909.3674096519385,True
105.54044924,20.98734327,0.0,0.02894065,N,,93,1988,DB02_to_DK02,backward,10,193.22435788064018,-1959.4318134243033,True
105.54044762,20.98689151,0.0,0.02712899,N,,94,1841,DB02_to_DK02,backward,10,193.05619223511636,-2009.665233485326,True
105.54044599,20.98643975,0.0,0.02551778,N,,95,1694,DB02_to_DK02,backward,10,192.88698853070784,-2059.898653546348,True
105.54044437,20.98598799,0.0,0.02411862,N,,96,1547,DB02_to_DK02,backward,10,192.71882288665918,-2110.1320736069756,True
105.53996334,20.98598951,0.0,0.0237179,N,,97,1546,DB02_to_DK02,backward,10,142.7850450100014,-2109.9630573187133,True
105.53996171,20.98553775,0.0,0.02253604,N,,98,1399,DB02_to_DK02,backward,10,142.61584130559288,-2160.196477379736,True
105.53996009,20.98508598,0.0,0.021586,N,,99,1252,DB02_to_DK02,backward,10,142.44767566006905,-2210.4310093897216,True
105.53995847,20.98463422,0.0,0.02087485,N,,100,1105,DB02_to_DK02,backward,10,142.27951001602034,-2260.664429450744,True
105.53947744,20.98463575,0.0,0.02070913,N,,101,1104,DB02_to_DK02,backward,10,92.3457321393626,-2260.494301213123,True
105.53947582,20.98418398,0.0,0.02024133,N,,102,957,DB02_to_DK02,backward,10,92.1775664953139,-2310.7288332231087,True
105.53947419,20.98373222,0.0,0.02002159,N,,103,810,DB02_to_DK02,backward,10,92.0083627909054,-2360.9622532841313,True
105.53939267,20.98356076,0.0,0.0,DB02,,104,15436,DB02_to_DK02,backward,10,83.54610144976081,-2380.027735406683,True
