order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,backward,6,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
1,DB02_to_DK02,backward,6,105.5376534584053,21.0203352206944,-96.99441670882436,1709.1057239002535,0.0
2,DB02_to_DK02,backward,6,105.5350130540139,21.01707505383849,-371.08411253524923,1346.5917095084371,0.0
3,DB02_to_DK02,backward,6,105.53501078777762,21.015906878948048,-371.31936135399417,1216.6965882577827,0.0
4,DB02_to_DK02,backward,6,105.53332882396518,21.014308700769043,-545.9172188821319,1038.9872828783941,0.0
5,DB02_to_DK02,backward,6,105.53393251856832,21.008773355083715,-483.2501248985267,423.4849254459691,0.0
6,DB02_to_DK02,backward,6,105.53375799079147,21.005531860678133,-501.3671472099125,63.04719279844511,0.0
7,DB02_to_DK02,backward,6,105.53365397916198,20.99972075120362,-512.164173598677,-583.1186989436692,0.0
8,DB02_to_DK02,backward,6,105.53288160049692,20.997246627890718,-592.3416774915777,-858.2286592310663,0.0
9,DB02_to_DK02,backward,6,105.53380094180112,20.995892045922115,-496.9085766951292,-1008.8513018641278,0.0
10,DB02_to_DK02,backward,6,105.53472905408381,20.99147994146952,-400.5649961104938,-1499.454932818329,0.0
11,DB02_to_DK02,backward,6,105.53492759095546,20.98705756944649,-379.95568681746516,-1991.2002655143767,0.0
12,DB02_to_DK02,backward,6,105.53627675838226,20.9830035076502,-239.90407546764843,-2441.9913695652676,0.0
13,DB02_to_DK02,backward,6,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
