order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,backward,8,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
1,DB02_to_DK02,backward,8,105.53742415223142,21.01830339421242,-120.79776276125426,1483.1769272821925,0.0
2,DB02_to_DK02,backward,8,105.53709899563712,21.017834418620787,-154.55095311285532,1431.0292207725388,0.0
3,DB02_to_DK02,backward,8,105.53313286637676,21.015007723000963,-566.258783218348,1116.715008679768,0.0
4,DB02_to_DK02,backward,8,105.53261475191856,21.014044217025216,-620.0421486433147,1009.578032384651,0.0
5,DB02_to_DK02,backward,8,105.53226779503102,21.008269789449862,-656.0583392253841,367.4909817290654,0.0
6,DB02_to_DK02,backward,8,105.52966634331325,21.003795789312214,-926.1045156189031,-129.9951353846153,0.0
7,DB02_to_DK02,backward,8,105.53006694960679,21.003596177068975,-884.5191972874064,-152.1910041287539,0.0
8,DB02_to_DK02,backward,8,105.5324694255326,20.999939768572908,-635.1278927264541,-558.7650786315394,0.0
9,DB02_to_DK02,backward,8,105.53904140004312,20.99882357462869,47.08218859287001,-682.8801823797174,0.0
10,DB02_to_DK02,backward,8,105.54406918724861,20.99641304841889,568.9964341253307,-950.9184674533499,0.0
11,DB02_to_DK02,backward,8,105.54657489215849,20.995209348562504,829.1035218198388,-1084.7637846862553,0.0
12,DB02_to_DK02,backward,8,105.54464474163173,20.99423427356787,628.7424057330227,-1193.1871771876379,0.0
13,DB02_to_DK02,backward,8,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
