order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,forward,4,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
1,DB02_to_DK02,forward,4,105.54045960837189,20.987832269042716,194.30065661161296,-1905.0576007403506,0.0
2,DB02_to_DK02,forward,4,105.5377451881451,20.992861081901797,-87.47232359177849,-1345.8791237656264,0.0
3,DB02_to_DK02,forward,4,105.5354611171713,20.998430288907397,-324.57248919407095,-726.6115593094854,0.0
4,DB02_to_DK02,forward,4,105.53574402971691,21.00011273775449,-295.20448260199925,-539.5317831741027,0.0
5,DB02_to_DK02,forward,4,105.53530595931657,21.00082446647794,-340.67879826703705,-460.391159978922,0.0
6,DB02_to_DK02,forward,4,105.53543659514585,21.002099847979355,-327.11802143033765,-318.5752074851722,0.0
7,DB02_to_DK02,forward,4,105.53508072708436,21.005473148849546,-364.05924492113485,56.518735325829766,0.0
8,DB02_to_DK02,forward,4,105.53465719157562,21.007499669636104,-408.0247523039908,281.8575655305003,0.0
9,DB02_to_DK02,forward,4,105.53415548791179,21.01164518881319,-460.1045795693219,742.8182663302366,0.0
10,DB02_to_DK02,forward,4,105.53629232633607,21.01515079206093,-238.2880291769354,1132.6235623076336,0.0
11,DB02_to_DK02,forward,4,105.5362923734751,21.015151011405898,-238.28313586376055,1132.647952355439,0.0
12,DB02_to_DK02,forward,4,105.53864245360931,21.017254469853626,5.6691735826632055,1366.5418601503634,0.0
13,DB02_to_DK02,forward,4,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
