order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,backward,10,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
1,DB02_to_DK02,backward,10,105.54558132447254,21.016116251586404,725.9652806801898,1239.9777634211623,0.0
2,DB02_to_DK02,backward,10,105.54401100736212,21.01233240422107,562.9570155259393,819.2331331986311,0.0
3,DB02_to_DK02,backward,10,105.54398019677568,21.012252999361618,559.7586932186763,810.4037156766763,0.0
4,DB02_to_DK02,backward,10,105.54322301432705,21.01136783063233,481.15864706443864,711.9774437553409,0.0
5,DB02_to_DK02,backward,10,105.54466663664714,21.009525262196206,631.0152386879606,507.0931816631555,0.0
6,DB02_to_DK02,backward,10,105.54385828121151,21.008477250623848,547.1031318172572,390.5596117521531,0.0
7,DB02_to_DK02,backward,10,105.54453467678229,21.006840310563422,617.3170190760128,208.54018181152307,0.0
8,DB02_to_DK02,backward,10,105.54451573574575,21.006604053712543,615.3508267144747,182.26961860852654,0.0
9,DB02_to_DK02,backward,10,105.54481568411622,21.00288275268614,646.4872533519856,-231.52017604463853,0.0
10,DB02_to_DK02,backward,10,105.54605486219724,21.0008537123064,775.1213157743722,-457.1391722284978,0.0
11,DB02_to_DK02,backward,10,105.5429743688082,20.999270767567268,455.34776186330765,-633.1545963787023,0.0
12,DB02_to_DK02,backward,10,105.54372374278921,20.996925557124264,533.1372425896787,-893.9300995547303,0.0
13,DB02_to_DK02,backward,10,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
