order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,forward,1,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
1,DB02_to_DK02,forward,1,105.5416043409351,20.985477706316836,313.13071199164597,-2166.8730303247376,0.0
2,DB02_to_DK02,forward,1,105.54234934048948,20.987653192727798,390.46610119125233,-1924.969978441483,0.0
3,DB02_to_DK02,forward,1,105.54395729023827,20.99109018276532,557.3808582580351,-1542.7941233412398,0.0
4,DB02_to_DK02,forward,1,105.54527286532239,20.994855391171367,693.9453844422027,-1124.1220508292179,0.0
5,DB02_to_DK02,forward,1,105.54560974368972,20.9970051688277,728.915364621164,-885.0776820309786,0.0
6,DB02_to_DK02,forward,1,105.54609498717325,20.99881203665607,779.2865271737975,-684.1631463991564,0.0
7,DB02_to_DK02,forward,1,105.54606947837117,20.999688241324034,776.6385616473325,-586.7336326193752,0.0
8,DB02_to_DK02,forward,1,105.54721114889867,21.003313364360483,895.1507594903178,-183.63834250365147,0.0
9,DB02_to_DK02,forward,1,105.54721680325234,21.005207057739533,895.7377150656396,26.930753866784812,0.0
10,DB02_to_DK02,forward,1,105.54606119270419,21.00928515215298,775.7784600841675,480.394163019802,0.0
11,DB02_to_DK02,forward,1,105.54587844680947,21.010836002471123,756.8083482103109,652.840850382585,0.0
12,DB02_to_DK02,forward,1,105.544904909605,21.01210995653592,655.7493903033602,794.498079165892,0.0
13,DB02_to_DK02,forward,1,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
