x,y,z,slowness,label,label_prefix,order,node_index,pair_name,direction,route_rank,x_m,y_m,flyable
105.54310305,21.02092294,0.0,0.02000384,DK02,,0,15438,DB02_to_DK02,backward,6,468.7056356926453,1774.4571289739831,True
105.54297534,21.020766,0.0,0.04002793,N,,1,12871,DB02_to_DK02,backward,6,455.4485773540034,1757.0061971863743,True
105.5424942,21.02076754,0.0,0.04018929,N,,2,12870,DB02_to_DK02,backward,6,405.50338082223874,1757.177437373749,True
105.54201306,21.02076907,0.0,0.04055325,N,,3,12869,DB02_to_DK02,backward,6,355.55818429194926,1757.3475656113699,True
105.54153191,21.0207706,0.0,0.04111578,N,,4,12868,DB02_to_DK02,backward,6,305.6119497013,1757.517693848991,True
105.54105077,21.02077213,0.0,0.0418695,N,,5,12867,DB02_to_DK02,backward,6,255.66675316953538,1757.6878220870071,True
105.54056963,21.02077366,0.0,0.04280483,N,,6,12866,DB02_to_DK02,backward,6,205.72155663777073,1757.8579503246285,True
105.54008848,21.02077519,0.0,0.04391187,N,,7,12865,DB02_to_DK02,backward,6,155.77532204712148,1758.0280785622494,True
105.53960734,21.02077672,0.0,0.04518201,N,,8,12864,DB02_to_DK02,backward,6,105.83012551683201,1758.1982068002658,True
105.53960571,21.02032496,0.0,0.04557334,N,,9,12717,DB02_to_DK02,backward,6,105.66092181242352,1707.964786739243,True
105.53912457,21.02032648,0.0,0.04695219,N,,10,12716,DB02_to_DK02,backward,6,55.71572528065887,1708.1338030279005,True
105.53864343,21.02032801,0.0,0.04847191,N,,11,12715,DB02_to_DK02,backward,6,5.770528748894245,1708.3039312655217,True
105.53816229,21.02032953,0.0,0.0501375,N,,12,12714,DB02_to_DK02,backward,6,-44.174667781395215,1708.4729475541792,True
105.53768114,21.02033105,0.0,0.05194711,N,,13,12713,DB02_to_DK02,backward,6,-94.12090237204448,1708.6419638424422,True
105.53719838,21.01988081,0.0,0.05428763,N,,14,12565,DB02_to_DK02,backward,6,-144.2342645478578,1658.5775600700772,True
