order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,backward,2,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
1,DB02_to_DK02,backward,2,105.53831654626957,21.0209907518018,-28.161948615721656,1781.9974573011782,0.0
2,DB02_to_DK02,backward,2,105.53309573946238,21.01783115594345,-570.1127779716655,1430.666427605206,0.0
3,DB02_to_DK02,backward,2,105.53287937309254,21.0168895472897,-592.5728953268862,1325.9643224236072,0.0
4,DB02_to_DK02,backward,2,105.5308241901548,21.01273529241524,-805.9131200701239,864.0322563952016,0.0
5,DB02_to_DK02,backward,2,105.5302910099277,21.007947598232665,-861.2604020042485,331.6649529673015,0.0
6,DB02_to_DK02,backward,2,105.52809934319546,21.003698375371417,-1088.7684571904142,-140.82707138552246,0.0
7,DB02_to_DK02,backward,2,105.52866475917992,21.002223525180227,-1030.0749117241216,-304.8229302067241,0.0
8,DB02_to_DK02,backward,2,105.52911326595542,20.998341611013714,-983.5172381821749,-736.4720911924613,0.0
9,DB02_to_DK02,backward,2,105.53259643201694,20.994043078856105,-621.9438635021813,-1214.4470591372033,0.0
10,DB02_to_DK02,backward,2,105.53589719274576,20.992399752996988,-279.3052483302997,-1397.176557494688,0.0
11,DB02_to_DK02,backward,2,105.53620561569879,20.98981700348919,-247.2891095685685,-1684.3651995557038,0.0
12,DB02_to_DK02,backward,2,105.5399526776855,20.98606672970586,141.67823328544324,-2101.376617790101,0.0
13,DB02_to_DK02,backward,2,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
