order,pair_name,direction,route_rank,x_or_lon,y_or_lat,x_m,y_m,z_m
0,DB02_to_DK02,forward,8,105.53939267,20.98356076,83.54610144976081,-2380.027735406683,0.0
1,DB02_to_DK02,forward,8,105.54008774906528,20.985108598917083,155.69944667244016,-2207.915900563779,0.0
2,DB02_to_DK02,forward,8,105.53998197581468,20.985485480953482,144.71955352533925,-2166.0085301729405,0.0
3,DB02_to_DK02,forward,8,105.53815579322847,20.98848303818162,-44.84907134665073,-1832.695374077157,0.0
4,DB02_to_DK02,forward,8,105.53608784992764,20.99310122995152,-259.51389774830943,-1319.1758789925368,0.0
5,DB02_to_DK02,forward,8,105.53577755123858,20.993367153535118,-291.7247490782788,-1289.6065256215904,0.0
6,DB02_to_DK02,forward,8,105.53488040171706,20.99554153497795,-384.854210711116,-1047.826340588619,0.0
7,DB02_to_DK02,forward,8,105.5351555277925,21.000608438003216,-356.2944860806277,-484.4124303788708,0.0
8,DB02_to_DK02,forward,8,105.53205380345334,21.004263649091737,-678.2719390154095,-77.97150152043923,0.0
9,DB02_to_DK02,forward,8,105.53265874966604,21.00780007396874,-615.4749205084966,315.2610032616347,0.0
10,DB02_to_DK02,forward,8,105.53639918052082,21.01274060963235,-227.1959286279543,864.623503961657,0.0
11,DB02_to_DK02,forward,8,105.53686818577258,21.0164644612886,-178.51039121066282,1278.6969157136011,0.0
12,DB02_to_DK02,forward,8,105.53718518050024,21.017504900392716,-145.60445120845685,1394.3884655739084,0.0
13,DB02_to_DK02,forward,8,105.54310305,21.02092294,468.7056356926453,1774.4571289739831,0.0
