xy_id,x_from_sw_m,y_from_sw_m,terrain_msl_m,topo_burn_top_msl_m,powerline_kind_in_xy,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m
3782,1775.0,1875.0,29.67816162109375,30.0,line,35.0,62.17816162109375,62.17816162109375,67.17816162109375,0.0,29.67816162109375,30.0,29.67816162109375
3783,1775.0,1925.0,27.747333526611328,30.0,line+pole,35.0,60.24733352661133,60.24733352661133,65.24733352661133,35.0,27.747333526611328,30.0,62.74733352661133
3889,1825.0,1875.0,27.78429412841797,30.0,line,35.0,60.28429412841797,60.28429412841797,65.28429412841797,0.0,27.78429412841797,30.0,27.78429412841797
3890,1825.0,1925.0,25.010801315307617,30.0,line,35.0,57.51080131530762,57.51080131530762,62.51080131530762,0.0,25.010801315307617,30.0,25.010801315307617
3995,1875.0,1825.0,25.94011116027832,30.0,line,35.0,58.44011116027832,58.44011116027832,63.44011116027832,0.0,25.94011116027832,30.0,25.94011116027832
3996,1875.0,1875.0,23.87946891784668,25.0,line+pole,35.0,56.37946891784668,56.37946891784668,61.37946891784668,35.0,23.87946891784668,25.0,58.87946891784668
3997,1875.0,1925.0,25.152860641479492,30.0,line+pole,35.0,57.65286064147949,57.65286064147949,62.65286064147949,35.0,25.152860641479492,30.0,60.15286064147949
4101,1925.0,1775.0,19.256053924560547,20.0,line,35.0,51.75605392456055,51.75605392456055,56.75605392456055,0.0,19.256053924560547,20.0,19.256053924560547
4102,1925.0,1825.0,21.724422454833984,25.0,line,35.0,54.224422454833984,54.224422454833984,59.224422454833984,0.0,21.724422454833984,25.0,21.724422454833984
4103,1925.0,1875.0,23.574026107788086,25.0,line,35.0,56.074026107788086,56.074026107788086,61.074026107788086,0.0,23.574026107788086,25.0,23.574026107788086
4207,1975.0,1725.0,18.71091079711914,20.0,line,35.0,51.21091079711914,51.21091079711914,56.21091079711914,0.0,18.71091079711914,20.0,18.71091079711914
4208,1975.0,1775.0,18.452608108520508,20.0,line+pole,35.0,50.95260810852051,50.95260810852051,55.95260810852051,35.0,18.452608108520508,20.0,53.45260810852051
4209,1975.0,1825.0,20.291669845581055,25.0,line,35.0,52.791669845581055,52.791669845581055,57.791669845581055,0.0,20.291669845581055,25.0,20.291669845581055
4313,2025.0,1675.0,22.948728561401367,25.0,line,35.0,55.44872856140137,55.44872856140137,60.44872856140137,0.0,22.948728561401367,25.0,22.948728561401367
4314,2025.0,1725.0,19.222021102905273,20.0,line,35.0,51.72202110290527,51.72202110290527,56.72202110290527,0.0,19.222021102905273,20.0,19.222021102905273
4315,2025.0,1775.0,22.623449325561523,25.0,line,35.0,55.12344932556152,55.12344932556152,60.12344932556152,0.0,22.623449325561523,25.0,22.623449325561523
4419,2075.0,1625.0,28.234867095947266,30.0,line,35.0,60.734867095947266,60.734867095947266,65.73486709594727,0.0,28.234867095947266,30.0,28.234867095947266
4420,2075.0,1675.0,26.39605712890625,30.0,line,35.0,58.89605712890625,58.89605712890625,63.89605712890625,0.0,26.39605712890625,30.0,26.39605712890625
4421,2075.0,1725.0,22.695919036865234,25.0,line,35.0,55.195919036865234,55.195919036865234,60.195919036865234,0.0,22.695919036865234,25.0,22.695919036865234
4525,2125.0,1575.0,28.212404251098633,30.0,line,35.0,60.71240425109863,60.71240425109863,65.71240425109863,0.0,28.212404251098633,30.0,28.212404251098633
4526,2125.0,1625.0,26.789506912231445,30.0,line,35.0,59.289506912231445,59.289506912231445,64.28950691223145,0.0,26.789506912231445,30.0,26.789506912231445
4527,2125.0,1675.0,27.32736587524414,30.0,line,35.0,59.82736587524414,59.82736587524414,64.82736587524414,0.0,27.32736587524414,30.0,27.32736587524414
4631,2175.0,1525.0,24.75982093811035,25.0,line,35.0,57.25982093811035,57.25982093811035,62.25982093811035,0.0,24.75982093811035,25.0,24.75982093811035
4632,2175.0,1575.0,25.320432662963867,30.0,line,35.0,57.82043266296387,57.82043266296387,62.82043266296387,0.0,25.320432662963867,30.0,25.320432662963867
4633,2175.0,1625.0,26.61209487915039,30.0,line,35.0,59.11209487915039,59.11209487915039,64.11209487915039,0.0,26.61209487915039,30.0,26.61209487915039
