rank,kind,path,feature_count_raw,crs,columns,bounds_before_crs,bounds_after_to_utm,height_column,height_source,feature_count_used,height_min_m,height_p50_m,height_max_m
0,line,input/data_senario1/osm/powerlines/power_lines_hoalac.gpkg,15,EPSG:4326,"power,cables,circuits,frequency,name,voltage,source,wires,line,layer,location,layer_name,layer_code,infra_class,voltage_kv,height_m,z_min_agl_m,z_max_agl_m,height_source,uav_obstacle_role,geometry","[105.519841, 20.982583850933594, 105.5552002, 21.028476756424393]","[554027.7286009837, 2320314.937303898, 557702.1844151507, 2325396.808731377]",height_m,column:height_m; default_if_nan=25_m_AGL,15,35.0,35.0,35.0
1,line,input/data_senario1/osm/powerlines/powerlines_hoalac_clipped.gpkg,13,EPSG:4326,"power,cables,circuits,frequency,voltage,wires,power_simple,feature_code,z_min_agl_m,z_max_agl_m,geometry","[105.519841, 20.982583850933594, 105.5552002, 21.028476756424393]","[554027.7286009837, 2320314.937303898, 557702.1844151507, 2325396.808731377]",z_min_agl_m,column:z_min_agl_m; default_if_nan=25_m_AGL,13,8.0,8.0,8.0
