xy_id,ix,iy,iz,x_from_sw_m,y_from_sw_m,z_center_msl_m,z_bottom_msl_m,z_top_msl_m,terrain_msl_m,powerline_kind_in_xy,powerline_height_reference_used,topo_burn_top_msl_m,powerline_line_height_agl_m,powerline_line_base_msl_m,powerline_line_effective_base_msl_m,powerline_line_top_msl_m,powerline_pole_height_agl_m,powerline_pole_base_msl_m,powerline_pole_effective_base_msl_m,powerline_pole_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,powerline_plot_kind,powerline_plot_height_agl_m,gx,gy,gz,burn_display_class,_use_true_xy_cell_size,plot_burn_powerline,plot_burn_building,plot_burn_topo,plot_burn_any,z_plot_bottom_agl_m,z_plot_top_agl_m
4102,38,36,11,1925.0,1825.0,57.5,55.0,60.0,21.724422454833984,line,AGL,25.0,35.0,54.224422454833984,54.224422454833984,59.224422454833984,0.0,21.724422454833984,25.0,21.724422454833984,55.0,59.224422454833984,line-air strand/cable,35.0,38,36,11,powerline,True,True,False,False,True,33.275577545166016,37.5
4103,38,37,11,1925.0,1875.0,57.5,55.0,60.0,23.574026107788086,line,AGL,25.0,35.0,56.074026107788086,56.074026107788086,61.074026107788086,0.0,23.574026107788086,25.0,23.574026107788086,56.074026107788086,60.0,line-air strand/cable,35.0,38,37,11,powerline,True,True,False,False,True,32.5,36.425973892211914
4103,38,37,12,1925.0,1875.0,62.5,60.0,65.0,23.574026107788086,line,AGL,25.0,35.0,56.074026107788086,56.074026107788086,61.074026107788086,0.0,23.574026107788086,25.0,23.574026107788086,60.0,61.074026107788086,line-air strand/cable,35.0,38,37,12,powerline,True,True,False,False,True,36.425973892211914,37.5
4207,39,34,10,1975.0,1725.0,52.5,50.0,55.0,18.71091079711914,line,AGL,20.0,35.0,51.21091079711914,51.21091079711914,56.21091079711914,0.0,18.71091079711914,20.0,18.71091079711914,51.21091079711914,55.0,line-air strand/cable,35.0,39,34,10,powerline,True,True,False,False,True,32.5,36.28908920288086
4207,39,34,11,1975.0,1725.0,57.5,55.0,60.0,18.71091079711914,line,AGL,20.0,35.0,51.21091079711914,51.21091079711914,56.21091079711914,0.0,18.71091079711914,20.0,18.71091079711914,55.0,56.21091079711914,line-air strand/cable,35.0,39,34,11,powerline,True,True,False,False,True,36.28908920288086,37.5
4208,39,35,10,1975.0,1775.0,52.5,50.0,55.0,18.452608108520508,line+pole,AGL,20.0,35.0,50.95260810852051,50.95260810852051,55.95260810852051,35.0,18.452608108520508,20.0,53.45260810852051,50.95260810852051,55.0,line-air strand/cable,35.0,39,35,10,powerline,True,True,False,False,True,32.5,36.54739189147949
4208,39,35,11,1975.0,1775.0,57.5,55.0,60.0,18.452608108520508,line+pole,AGL,20.0,35.0,50.95260810852051,50.95260810852051,55.95260810852051,35.0,18.452608108520508,20.0,53.45260810852051,55.0,55.95260810852051,line-air strand/cable,35.0,39,35,11,powerline,True,True,False,False,True,36.54739189147949,37.5
4209,39,36,10,1975.0,1825.0,52.5,50.0,55.0,20.291669845581055,line,AGL,25.0,35.0,52.791669845581055,52.791669845581055,57.791669845581055,0.0,20.291669845581055,25.0,20.291669845581055,52.791669845581055,55.0,line-air strand/cable,35.0,39,36,10,powerline,True,True,False,False,True,32.5,34.708330154418945
4209,39,36,11,1975.0,1825.0,57.5,55.0,60.0,20.291669845581055,line,AGL,25.0,35.0,52.791669845581055,52.791669845581055,57.791669845581055,0.0,20.291669845581055,25.0,20.291669845581055,55.0,57.791669845581055,line-air strand/cable,35.0,39,36,11,powerline,True,True,False,False,True,34.708330154418945,37.5
4313,40,33,11,2025.0,1675.0,57.5,55.0,60.0,22.948728561401367,line,AGL,25.0,35.0,55.44872856140137,55.44872856140137,60.44872856140137,0.0,22.948728561401367,25.0,22.948728561401367,55.44872856140137,60.0,line-air strand/cable,35.0,40,33,11,powerline,True,True,False,False,True,32.5,37.05127143859863
4313,40,33,12,2025.0,1675.0,62.5,60.0,65.0,22.948728561401367,line,AGL,25.0,35.0,55.44872856140137,55.44872856140137,60.44872856140137,0.0,22.948728561401367,25.0,22.948728561401367,60.0,60.44872856140137,line-air strand/cable,35.0,40,33,12,powerline,True,True,False,False,True,37.05127143859863,37.5
4314,40,34,10,2025.0,1725.0,52.5,50.0,55.0,19.222021102905273,line,AGL,20.0,35.0,51.72202110290527,51.72202110290527,56.72202110290527,0.0,19.222021102905273,20.0,19.222021102905273,51.72202110290527,55.0,line-air strand/cable,35.0,40,34,10,powerline,True,True,False,False,True,32.5,35.77797889709473
4314,40,34,11,2025.0,1725.0,57.5,55.0,60.0,19.222021102905273,line,AGL,20.0,35.0,51.72202110290527,51.72202110290527,56.72202110290527,0.0,19.222021102905273,20.0,19.222021102905273,55.0,56.72202110290527,line-air strand/cable,35.0,40,34,11,powerline,True,True,False,False,True,35.77797889709473,37.5
4315,40,35,11,2025.0,1775.0,57.5,55.0,60.0,22.623449325561523,line,AGL,25.0,35.0,55.12344932556152,55.12344932556152,60.12344932556152,0.0,22.623449325561523,25.0,22.623449325561523,55.12344932556152,60.0,line-air strand/cable,35.0,40,35,11,powerline,True,True,False,False,True,32.5,37.37655067443848
4315,40,35,12,2025.0,1775.0,62.5,60.0,65.0,22.623449325561523,line,AGL,25.0,35.0,55.12344932556152,55.12344932556152,60.12344932556152,0.0,22.623449325561523,25.0,22.623449325561523,60.0,60.12344932556152,line-air strand/cable,35.0,40,35,12,powerline,True,True,False,False,True,37.37655067443848,37.5
4419,41,32,12,2075.0,1625.0,62.5,60.0,65.0,28.234867095947266,line,AGL,30.0,35.0,60.734867095947266,60.734867095947266,65.73486709594727,0.0,28.234867095947266,30.0,28.234867095947266,60.734867095947266,65.0,line-air strand/cable,35.0,41,32,12,powerline,True,True,False,False,True,32.5,36.765132904052734
4419,41,32,13,2075.0,1625.0,67.5,65.0,70.0,28.234867095947266,line,AGL,30.0,35.0,60.734867095947266,60.734867095947266,65.73486709594727,0.0,28.234867095947266,30.0,28.234867095947266,65.0,65.73486709594727,line-air strand/cable,35.0,41,32,13,powerline,True,True,False,False,True,36.765132904052734,37.5
4420,41,33,11,2075.0,1675.0,57.5,55.0,60.0,26.39605712890625,line,AGL,30.0,35.0,58.89605712890625,58.89605712890625,63.89605712890625,0.0,26.39605712890625,30.0,26.39605712890625,58.89605712890625,60.0,line-air strand/cable,35.0,41,33,11,powerline,True,True,False,False,True,32.5,33.60394287109375
4420,41,33,12,2075.0,1675.0,62.5,60.0,65.0,26.39605712890625,line,AGL,30.0,35.0,58.89605712890625,58.89605712890625,63.89605712890625,0.0,26.39605712890625,30.0,26.39605712890625,60.0,63.89605712890625,line-air strand/cable,35.0,41,33,12,powerline,True,True,False,False,True,33.60394287109375,37.5
4421,41,34,11,2075.0,1725.0,57.5,55.0,60.0,22.695919036865234,line,AGL,25.0,35.0,55.195919036865234,55.195919036865234,60.195919036865234,0.0,22.695919036865234,25.0,22.695919036865234,55.195919036865234,60.0,line-air strand/cable,35.0,41,34,11,powerline,True,True,False,False,True,32.5,37.304080963134766
4421,41,34,12,2075.0,1725.0,62.5,60.0,65.0,22.695919036865234,line,AGL,25.0,35.0,55.195919036865234,55.195919036865234,60.195919036865234,0.0,22.695919036865234,25.0,22.695919036865234,60.0,60.195919036865234,line-air strand/cable,35.0,41,34,12,powerline,True,True,False,False,True,37.304080963134766,37.5
4525,42,31,12,2125.0,1575.0,62.5,60.0,65.0,28.212404251098633,line,AGL,30.0,35.0,60.71240425109863,60.71240425109863,65.71240425109863,0.0,28.212404251098633,30.0,28.212404251098633,60.71240425109863,65.0,line-air strand/cable,35.0,42,31,12,powerline,True,True,False,False,True,32.5,36.78759574890137
4525,42,31,13,2125.0,1575.0,67.5,65.0,70.0,28.212404251098633,line,AGL,30.0,35.0,60.71240425109863,60.71240425109863,65.71240425109863,0.0,28.212404251098633,30.0,28.212404251098633,65.0,65.71240425109863,line-air strand/cable,35.0,42,31,13,powerline,True,True,False,False,True,36.78759574890137,37.5
4526,42,32,11,2125.0,1625.0,57.5,55.0,60.0,26.789506912231445,line,AGL,30.0,35.0,59.289506912231445,59.289506912231445,64.28950691223145,0.0,26.789506912231445,30.0,26.789506912231445,59.289506912231445,60.0,line-air strand/cable,35.0,42,32,11,powerline,True,True,False,False,True,32.5,33.210493087768555
4526,42,32,12,2125.0,1625.0,62.5,60.0,65.0,26.789506912231445,line,AGL,30.0,35.0,59.289506912231445,59.289506912231445,64.28950691223145,0.0,26.789506912231445,30.0,26.789506912231445,60.0,64.28950691223145,line-air strand/cable,35.0,42,32,12,powerline,True,True,False,False,True,33.210493087768555,37.5
4527,42,33,11,2125.0,1675.0,57.5,55.0,60.0,27.32736587524414,line,AGL,30.0,35.0,59.82736587524414,59.82736587524414,64.82736587524414,0.0,27.32736587524414,30.0,27.32736587524414,59.82736587524414,60.0,line-air strand/cable,35.0,42,33,11,powerline,True,True,False,False,True,32.5,32.67263412475586
4527,42,33,12,2125.0,1675.0,62.5,60.0,65.0,27.32736587524414,line,AGL,30.0,35.0,59.82736587524414,59.82736587524414,64.82736587524414,0.0,27.32736587524414,30.0,27.32736587524414,60.0,64.82736587524414,line-air strand/cable,35.0,42,33,12,powerline,True,True,False,False,True,32.67263412475586,37.5
4631,43,30,11,2175.0,1525.0,57.5,55.0,60.0,24.75982093811035,line,AGL,25.0,35.0,57.25982093811035,57.25982093811035,62.25982093811035,0.0,24.75982093811035,25.0,24.75982093811035,57.25982093811035,60.0,line-air strand/cable,35.0,43,30,11,powerline,True,True,False,False,True,32.5,35.24017906188965
4631,43,30,12,2175.0,1525.0,62.5,60.0,65.0,24.75982093811035,line,AGL,25.0,35.0,57.25982093811035,57.25982093811035,62.25982093811035,0.0,24.75982093811035,25.0,24.75982093811035,60.0,62.25982093811035,line-air strand/cable,35.0,43,30,12,powerline,True,True,False,False,True,35.24017906188965,37.5
4632,43,31,11,2175.0,1575.0,57.5,55.0,60.0,25.320432662963867,line,AGL,30.0,35.0,57.82043266296387,57.82043266296387,62.82043266296387,0.0,25.320432662963867,30.0,25.320432662963867,57.82043266296387,60.0,line-air strand/cable,35.0,43,31,11,powerline,True,True,False,False,True,32.5,34.67956733703613
4632,43,31,12,2175.0,1575.0,62.5,60.0,65.0,25.320432662963867,line,AGL,30.0,35.0,57.82043266296387,57.82043266296387,62.82043266296387,0.0,25.320432662963867,30.0,25.320432662963867,60.0,62.82043266296387,line-air strand/cable,35.0,43,31,12,powerline,True,True,False,False,True,34.67956733703613,37.5
4633,43,32,11,2175.0,1625.0,57.5,55.0,60.0,26.61209487915039,line,AGL,30.0,35.0,59.11209487915039,59.11209487915039,64.11209487915039,0.0,26.61209487915039,30.0,26.61209487915039,59.11209487915039,60.0,line-air strand/cable,35.0,43,32,11,powerline,True,True,False,False,True,32.5,33.38790512084961
4633,43,32,12,2175.0,1625.0,62.5,60.0,65.0,26.61209487915039,line,AGL,30.0,35.0,59.11209487915039,59.11209487915039,64.11209487915039,0.0,26.61209487915039,30.0,26.61209487915039,60.0,64.11209487915039,line-air strand/cable,35.0,43,32,12,powerline,True,True,False,False,True,33.38790512084961,37.5
4737,44,29,11,2225.0,1475.0,57.5,55.0,60.0,25.54109001159668,line,AGL,30.0,35.0,58.04109001159668,58.04109001159668,63.04109001159668,0.0,25.54109001159668,30.0,25.54109001159668,58.04109001159668,60.0,line-air strand/cable,35.0,44,29,11,powerline,True,True,False,False,True,32.5,34.45890998840332
4737,44,29,12,2225.0,1475.0,62.5,60.0,65.0,25.54109001159668,line,AGL,30.0,35.0,58.04109001159668,58.04109001159668,63.04109001159668,0.0,25.54109001159668,30.0,25.54109001159668,60.0,63.04109001159668,line-air strand/cable,35.0,44,29,12,powerline,True,True,False,False,True,34.45890998840332,37.5
4738,44,30,11,2225.0,1525.0,57.5,55.0,60.0,25.747146606445312,line,AGL,30.0,35.0,58.24714660644531,58.24714660644531,63.24714660644531,0.0,25.747146606445312,30.0,25.747146606445312,58.24714660644531,60.0,line-air strand/cable,35.0,44,30,11,powerline,True,True,False,False,True,32.5,34.25285339355469
4738,44,30,12,2225.0,1525.0,62.5,60.0,65.0,25.747146606445312,line,AGL,30.0,35.0,58.24714660644531,58.24714660644531,63.24714660644531,0.0,25.747146606445312,30.0,25.747146606445312,60.0,63.24714660644531,line-air strand/cable,35.0,44,30,12,powerline,True,True,False,False,True,34.25285339355469,37.5
4739,44,31,11,2225.0,1575.0,57.5,55.0,60.0,25.3885555267334,line,AGL,30.0,35.0,57.8885555267334,57.8885555267334,62.8885555267334,0.0,25.3885555267334,30.0,25.3885555267334,57.8885555267334,60.0,line-air strand/cable,35.0,44,31,11,powerline,True,True,False,False,True,32.5,34.6114444732666
4739,44,31,12,2225.0,1575.0,62.5,60.0,65.0,25.3885555267334,line,AGL,30.0,35.0,57.8885555267334,57.8885555267334,62.8885555267334,0.0,25.3885555267334,30.0,25.3885555267334,60.0,62.8885555267334,line-air strand/cable,35.0,44,31,12,powerline,True,True,False,False,True,34.6114444732666,37.5
4843,45,28,11,2275.0,1425.0,57.5,55.0,60.0,24.879182815551758,line+pole,AGL,25.0,35.0,57.37918281555176,57.37918281555176,62.37918281555176,35.0,24.879182815551758,25.0,59.87918281555176,57.37918281555176,60.0,line-air strand/cable,35.0,45,28,11,powerline,True,True,False,False,True,32.5,35.12081718444824
4843,45,28,12,2275.0,1425.0,62.5,60.0,65.0,24.879182815551758,line+pole,AGL,25.0,35.0,57.37918281555176,57.37918281555176,62.37918281555176,35.0,24.879182815551758,25.0,59.87918281555176,60.0,62.37918281555176,line-air strand/cable,35.0,45,28,12,powerline,True,True,False,False,True,35.12081718444824,37.5
