xy_id,x_from_sw_m,y_from_sw_m,lon,lat,terrain_msl_m,building_height_input_m,building_height_reference_used,building_height_agl_m,building_base_msl_m,building_top_msl_m,_topo_voxel_top_msl_m,_display_building_base_msl_m,_display_building_top_msl_m,building_count_in_xy,building_volume_m3,_fig02_building_display_mode
6268,2925.0,3125.0,105.53091805506455,21.008906542558723,19.78868865966797,40.2683219909668,AGL,40.2683219909668,19.78868865966797,60.057010650634766,20.0,20.0,60.057010650634766,3,142852.39248784835,true_top_stacked_base_on_true_topo
6269,2925.0,3175.0,105.53091965340506,21.00935830501215,19.549802780151367,40.2683219909668,AGL,40.2683219909668,19.549802780151367,59.818124771118164,20.0,20.0,59.818124771118164,2,103005.25375539291,true_top_stacked_base_on_true_topo
6376,2975.0,3175.0,105.53140076115612,21.009356803463074,18.430116653442383,40.2683219909668,AGL,40.2683219909668,18.430116653442383,58.69843864440918,20.0,20.0,58.69843864440918,2,103005.25375539291,true_top_stacked_base_on_true_topo
6375,2975.0,3125.0,105.5313991613674,21.008905041044912,17.33043670654297,40.2683219909668,AGL,40.2683219909668,17.33043670654297,57.598758697509766,20.0,20.0,57.598758697509766,8,131925.9019418815,true_top_stacked_base_on_true_topo
6266,2925.0,3025.0,105.53091485851083,21.008003017579625,21.442970275878906,18.144725799560547,AGL,18.144725799560547,21.442970275878906,39.58769607543945,25.0,25.0,39.58769607543945,4,44453.14636893372,true_top_stacked_base_on_true_topo
6267,2925.0,3075.0,105.53091645676646,21.008454780081212,23.987031936645508,18.144725799560547,AGL,18.144725799560547,23.987031936645508,42.131757736206055,25.0,25.0,42.131757736206055,1,39847.13873245542,true_top_stacked_base_on_true_topo
6374,2975.0,3075.0,105.53139756162115,21.008453278602673,21.026655197143555,18.144725799560547,AGL,18.144725799560547,21.026655197143555,39.1713809967041,25.0,25.0,39.1713809967041,8,42450.59313568502,true_top_stacked_base_on_true_topo
6373,2975.0,3025.0,105.53139596191737,21.008001516136357,22.804311752319336,18.144725799560547,AGL,18.144725799560547,22.804311752319336,40.94903755187988,25.0,25.0,40.94903755187988,9,46811.504115705386,true_top_stacked_base_on_true_topo
3679,1725.0,2075.0,105.51933866549543,20.999455136267873,25.366744995117188,13.075963973999023,AGL,13.075963973999023,25.366744995117188,38.44270896911621,30.0,30.0,38.44270896911621,1,13091.191454864167,true_top_stacked_base_on_true_topo
3680,1725.0,2125.0,105.51934022820691,20.999906900063618,25.657194137573242,13.075963973999023,AGL,13.075963973999023,25.657194137573242,38.733158111572266,30.0,30.0,38.733158111572266,2,27323.06542785286,true_top_stacked_base_on_true_topo
3573,1675.0,2125.0,105.51885914981114,20.999908366890867,28.764307022094727,13.075963973999023,AGL,13.075963973999023,28.764307022094727,41.84027099609375,30.0,30.0,41.84027099609375,2,19042.989098607803,true_top_stacked_base_on_true_topo
3572,1675.0,2075.0,105.51885758854709,20.99945660306066,26.65566062927246,13.075963973999023,AGL,13.075963973999023,26.65566062927246,39.731624603271484,30.0,30.0,39.731624603271484,1,13091.191454864167,true_top_stacked_base_on_true_topo
10727,5025.0,1375.0,105.55106643974348,20.993030659890707,9.92703628540039,12.84410572052002,AGL,12.84410572052002,9.92703628540039,22.77114200592041,10.0,10.0,22.77114200592041,1,67334.73351499945,true_top_stacked_base_on_true_topo
10621,4975.0,1425.0,105.55058704205285,20.993483977703228,10.598721504211426,12.84410572052002,AGL,12.84410572052002,10.598721504211426,23.442827224731445,15.0,15.0,23.442827224731445,1,67334.73351499945,true_top_stacked_base_on_true_topo
10513,4925.0,1375.0,105.55010433196483,20.99303377050889,10.84907341003418,12.84410572052002,AGL,12.84410572052002,10.84907341003418,23.6931791305542,15.0,15.0,23.6931791305542,1,67334.73351499945,true_top_stacked_base_on_true_topo
10514,4925.0,1425.0,105.55010598669469,20.993485532369487,11.116636276245117,12.84410572052002,AGL,12.84410572052002,11.116636276245117,23.960741996765137,15.0,15.0,23.960741996765137,1,67334.73351499945,true_top_stacked_base_on_true_topo
10620,4975.0,1375.0,105.55058538587616,20.993032215879172,10.066849708557129,12.84410572052002,AGL,12.84410572052002,10.066849708557129,22.91095542907715,15.0,15.0,22.91095542907715,1,67334.73351499945,true_top_stacked_base_on_true_topo
10728,5025.0,1425.0,105.55106809736704,20.99348242167819,10.168730735778809,12.84410572052002,AGL,12.84410572052002,10.168730735778809,23.012836456298828,15.0,15.0,23.012836456298828,1,67334.73351499945,true_top_stacked_base_on_true_topo
9244,4325.0,2125.0,105.54435624669347,20.999828752004202,16.325288772583008,11.939249038696289,AGL,11.939249038696289,16.325288772583008,28.264537811279297,20.0,20.0,28.264537811279297,1,276915.9309967788,true_top_stacked_base_on_true_topo
9240,4325.0,1925.0,105.54434969504796,20.998021704021593,16.952184677124023,11.939249038696289,AGL,11.939249038696289,16.952184677124023,28.891433715820312,20.0,20.0,28.891433715820312,1,276915.9309967788,true_top_stacked_base_on_true_topo
9241,4325.0,1975.0,105.54435133289408,20.99847346605336,14.95055103302002,11.939249038696289,AGL,11.939249038696289,14.95055103302002,26.88980007171631,15.0,15.0,26.88980007171631,1,276915.9309967788,true_top_stacked_base_on_true_topo
9136,4275.0,2075.0,105.54387353397765,20.999378527516413,11.253369331359863,11.939249038696289,AGL,11.939249038696289,11.253369331359863,23.192618370056152,15.0,15.0,23.192618370056152,1,276915.9309967788,true_top_stacked_base_on_true_topo
9027,4225.0,1975.0,105.54338918916157,20.998476539493222,13.103049278259277,11.939249038696289,AGL,11.939249038696289,13.103049278259277,25.042298316955566,15.0,15.0,25.042298316955566,1,276915.9309967788,true_top_stacked_base_on_true_topo
9243,4325.0,2075.0,105.54435460871683,20.999376990044663,12.024744987487793,11.939249038696289,AGL,11.939249038696289,12.024744987487793,23.963994026184082,15.0,15.0,23.963994026184082,1,276915.9309967788,true_top_stacked_base_on_true_topo
9029,4225.0,2075.0,105.54339245919499,20.999380063628962,18.238882064819336,11.939249038696289,AGL,11.939249038696289,18.238882064819336,30.178131103515625,20.0,20.0,30.178131103515625,1,276915.9309967788,true_top_stacked_base_on_true_topo
9133,4275.0,1925.0,105.54386862465071,20.99802324138496,19.556472778320312,11.939249038696289,AGL,11.939249038696289,19.556472778320312,31.4957218170166,20.0,20.0,31.4957218170166,1,276915.9309967788,true_top_stacked_base_on_true_topo
