xy_id,x_from_sw_m,y_from_sw_m,lon,lat,terrain_msl_m,building_height_input_m,building_height_reference_used,building_height_agl_m,building_base_msl_m,building_top_msl_m,z_bottom_msl_m,z_top_msl_m,z_plot_bottom_msl_m,z_plot_top_msl_m,building_count_in_xy,building_volume_m3,_fig02_true_xy_builder
11228,5225.0,5025.0,105.55311219992826,21.026002958841136,12.47293472290039,4.928103446960449,AGL,4.928103446960449,12.47293472290039,17.40103816986084,10.0,15.0,12.47293472290039,15.0,13,2285.3131815100564,powerline_style_burn_mask
5903,2775.0,925.0,105.52940464197488,20.98903346251154,17.213420867919922,4.924882888793945,AGL,4.924882888793945,17.213420867919922,22.138303756713867,20.0,25.0,20.0,22.138303756713867,19,5401.777189995128,powerline_style_burn_mask
5903,2775.0,925.0,105.52940464197488,20.98903346251154,17.213420867919922,4.924882888793945,AGL,4.924882888793945,17.213420867919922,22.138303756713867,15.0,20.0,17.213420867919922,20.0,19,5401.777189995128,powerline_style_burn_mask
5902,2775.0,875.0,105.52940304988297,20.988581698869396,20.30181312561035,4.924882888793945,AGL,4.924882888793945,20.30181312561035,25.226696014404297,25.0,30.0,25.0,25.226696014404297,15,3412.928063837378,powerline_style_burn_mask
5902,2775.0,875.0,105.52940304988297,20.988581698869396,20.30181312561035,4.924882888793945,AGL,4.924882888793945,20.30181312561035,25.226696014404297,20.0,25.0,20.30181312561035,25.0,15,3412.928063837378,powerline_style_burn_mask
7816,3675.0,275.0,105.53804237258576,20.98313340776972,13.727521896362305,4.924290180206299,AGL,4.924290180206299,13.727521896362305,18.651812076568604,10.0,15.0,13.727521896362305,15.0,10,3902.8423985370055,powerline_style_burn_mask
7816,3675.0,275.0,105.53804237258576,20.98313340776972,13.727521896362305,4.924290180206299,AGL,4.924290180206299,13.727521896362305,18.651812076568604,15.0,20.0,15.0,18.651812076568604,10,3902.8423985370055,powerline_style_burn_mask
3714,1725.0,3825.0,105.51939338509561,21.015266854797254,24.375598907470703,4.922657489776611,AGL,4.922657489776611,24.375598907470703,29.298256397247314,25.0,30.0,25.0,29.298256397247314,10,3908.359965372287,powerline_style_burn_mask
3714,1725.0,3825.0,105.51939338509561,21.015266854797254,24.375598907470703,4.922657489776611,AGL,4.922657489776611,24.375598907470703,29.298256397247314,20.0,25.0,24.375598907470703,25.0,10,3908.359965372287,powerline_style_burn_mask
11679,5475.0,825.0,105.55537754839581,20.988047217236225,14.204010009765625,4.916348457336426,AGL,4.916348457336426,14.204010009765625,19.12035846710205,15.0,20.0,15.0,19.12035846710205,1,1205.6789951742367,powerline_style_burn_mask
11679,5475.0,825.0,105.55537754839581,20.988047217236225,14.204010009765625,4.916348457336426,AGL,4.916348457336426,14.204010009765625,19.12035846710205,10.0,15.0,14.204010009765625,15.0,1,1205.6789951742367,powerline_style_burn_mask
14314,6675.0,4175.0,105.56703676288356,21.018277104438468,10.878786087036133,4.916339874267578,AGL,4.916339874267578,10.878786087036133,15.795125961303711,15.0,20.0,15.0,15.795125961303711,1,394.7290848811397,powerline_style_burn_mask
14314,6675.0,4175.0,105.56703676288356,21.018277104438468,10.878786087036133,4.916339874267578,AGL,4.916339874267578,10.878786087036133,15.795125961303711,10.0,15.0,10.878786087036133,15.0,1,394.7290848811397,powerline_style_burn_mask
11887,5575.0,525.0,105.55632958601095,20.98533350714471,17.380340576171875,4.911176681518555,AGL,4.911176681518555,17.380340576171875,22.29151725769043,15.0,20.0,17.380340576171875,20.0,1,501.4274081843182,powerline_style_burn_mask
11886,5575.0,475.0,105.55632791327223,20.984881745328313,18.035737991333008,4.911176681518555,AGL,4.911176681518555,18.035737991333008,22.946914672851562,15.0,20.0,18.035737991333008,20.0,4,1337.4968358191634,powerline_style_burn_mask
11887,5575.0,525.0,105.55632958601095,20.98533350714471,17.380340576171875,4.911176681518555,AGL,4.911176681518555,17.380340576171875,22.29151725769043,20.0,25.0,20.0,22.29151725769043,1,501.4274081843182,powerline_style_burn_mask
11886,5575.0,475.0,105.55632791327223,20.984881745328313,18.035737991333008,4.911176681518555,AGL,4.911176681518555,18.035737991333008,22.946914672851562,20.0,25.0,20.0,22.946914672851562,4,1337.4968358191634,powerline_style_burn_mask
13947,6525.0,1875.0,105.56551504743533,20.997500954095248,13.707911491394043,4.908895969390869,AGL,4.908895969390869,13.707911491394043,18.616807460784912,15.0,20.0,15.0,18.616807460784912,3,1191.197935191709,powerline_style_burn_mask
13947,6525.0,1875.0,105.56551504743533,20.997500954095248,13.707911491394043,4.908895969390869,AGL,4.908895969390869,13.707911491394043,18.616807460784912,10.0,15.0,13.707911491394043,15.0,3,1191.197935191709,powerline_style_burn_mask
11741,5475.0,3925.0,105.5554811820599,21.0160563984493,13.703916549682617,4.908750534057617,AGL,4.908750534057617,13.703916549682617,18.612667083740234,15.0,20.0,15.0,18.612667083740234,19,3253.287058842492,powerline_style_burn_mask
11741,5475.0,3925.0,105.5554811820599,21.0160563984493,13.703916549682617,4.908750534057617,AGL,4.908750534057617,13.703916549682617,18.612667083740234,10.0,15.0,13.703916549682617,15.0,19,3253.287058842492,powerline_style_burn_mask
12292,5725.0,4725.0,105.5579137057342,21.023276685365715,13.832319259643555,4.908315658569336,AGL,4.908315658569336,13.832319259643555,18.74063491821289,10.0,15.0,13.832319259643555,15.0,10,2098.258654014091,powerline_style_burn_mask
12292,5725.0,4725.0,105.5579137057342,21.023276685365715,13.832319259643555,4.908315658569336,AGL,4.908315658569336,13.832319259643555,18.74063491821289,15.0,20.0,15.0,18.74063491821289,10,2098.258654014091,powerline_style_burn_mask
3273,1525.0,3175.0,105.51744861928545,21.009399796259206,23.311920166015625,4.907473087310791,AGL,4.907473087310791,23.311920166015625,28.219393253326416,20.0,25.0,23.311920166015625,25.0,7,2987.034509713219,powerline_style_burn_mask
3273,1525.0,3175.0,105.51744861928545,21.009399796259206,23.311920166015625,4.907473087310791,AGL,4.907473087310791,23.311920166015625,28.219393253326416,25.0,30.0,25.0,28.219393253326416,7,2987.034509713219,powerline_style_burn_mask
8039,3775.0,725.0,105.53901900499098,20.987196234789966,14.108901023864746,4.9039387702941895,AGL,4.9039387702941895,14.108901023864746,19.012839794158936,15.0,20.0,15.0,19.012839794158936,2,509.27630456112934,powerline_style_burn_mask
