route_key,direction,dk_name,db_name,edge_seq,from_node_id,to_node_id,from_name,to_name,from_role,to_role,x1,y1,x2,y2,edge_distance_m,edge_cost,nofly_clearance_m,nearest_flz_distance_m,route_hit_density,is_outer_zone_edge
DB02_to_DK01_backward,backward,DK01,DB02,0,2711,4710,DB02,TN027,DB,TN_minor,4250.0,1300.0,3200.0,2300.0,1450.0,1.0021273208740198,176.16606585441082,162.1514830282964,80.6,0
DB02_to_DK01_backward,backward,DK01,DB02,1,4710,2956,TN027,DB01,TN_minor,DB,3200.0,2300.0,1350.0,1450.0,2035.9273071502332,1.2343487575492424,100.0,170.718640614962,68.14285714285714,0
DB02_to_DK01_backward,backward,DK01,DB02,2,2956,4888,DB01,TN024,DB,TN_minor,1350.0,1450.0,2000.0,2400.0,1151.0864433221338,1.26025356623211,100.0,901.3878188659974,99.44,0
DB02_to_DK01_backward,backward,DK01,DB02,3,4888,7413,TN024,TN003,TN_minor,TN_major,2000.0,2400.0,2000.0,3650.0,1250.0,0.7342747411343351,300.0,494.9747468305833,116.57692307692308,0
DB02_to_DK01_backward,backward,DK01,DB02,4,7413,6805,TN003,TN015,TN_major,TN_minor,2000.0,3650.0,1900.0,3350.0,316.22776601683796,0.4197449569022497,320.1562118716424,494.9747468305833,171.875,0
DB02_to_DK01_backward,backward,DK01,DB02,5,6805,7213,TN015,DK01,TN_minor,DK,1900.0,3350.0,2100.0,3550.0,282.842712474619,0.27693452297832105,459.7704741377904,514.78150704935,145.0,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,0,7213,6805,DK01,TN015,DK,TN_minor,2100.0,3550.0,1900.0,3350.0,282.842712474619,4.154017844674815,459.7704741377904,514.78150704935,145.0,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,1,6805,7321,TN015,TN010,TN_minor,TN_major,1900.0,3350.0,2450.0,3600.0,604.1522986797286,3.2672848657489983,492.44289008980525,412.31056256176606,147.57142857142858,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,2,7321,6912,TN010,TN016,TN_major,TN_minor,2450.0,3600.0,2200.0,3400.0,320.1562118716424,0.7500000000000001,636.3961030678928,412.31056256176606,134.5,0
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,3,6912,8337,TN016,TN028,TN_minor,TN_minor,2200.0,3400.0,2750.0,4100.0,890.2246907382428,3.6972466676429194,570.087712549569,253.57018654836585,96.78947368421052,0
