node_id,model_row,name,role,label,label_prefix,x,y,x_m,y_m,route_hit_count,nofly,ra,is_outer_zone_node,outer_boundary_distance_m,outer_radial_score
2956,2956,DB01,DB,DB01,DB,1350.0,1450.0,1350.0,1450.0,0.0,False,False,False,1894.885611014884,0.536979706979222
2711,2711,DB02,DB,DB02,DB,4250.0,1300.0,4250.0,1300.0,0.0,False,False,False,4337.290430537394,0.7316929370318257
7213,7213,DK01,DK,DK01,DK,2100.0,3550.0,2100.0,3550.0,0.0,False,False,False,4053.573229735865,0.38745181128007294
8086,8086,DK02,DK,DK02,DK,300.0,4000.0,300.0,4000.0,0.0,False,False,False,3983.720092842399,0.9181742728065067
9253,9253,DK03,DK,DK03,DK,3100.0,4550.0,3100.0,4550.0,0.0,False,False,False,5429.390106524972,0.7365520470101321
2329,2329,DK04,DK,DK04,DK,300.0,1150.0,300.0,1150.0,0.0,False,False,False,1145.5951414510496,0.8900627240786418
9104,9104,DK05,DK,DK05,DK,700.0,4500.0,700.0,4500.0,0.0,False,False,False,4518.24732369934,0.9278361411774972
8719,8719,DK06,DK,DK06,DK,1650.0,4300.0,1650.0,4300.0,0.0,False,False,False,4549.1679544853305,0.6864148012894614
3406,3406,FLZ01,FLZ,FLZ01,FLZ,3650.0,1650.0,3650.0,1650.0,0.0,False,False,False,3900.840880993642,0.49311550503707213
590,590,FLZ02,FLZ,FLZ02,FLZ,4250.0,250.0,4250.0,250.0,0.0,False,False,False,4150.748450689887,0.9829098492233949
8127,8127,FLZ03,FLZ,FLZ03,FLZ,2350.0,4000.0,2350.0,4000.0,0.0,False,False,False,4568.342541757486,0.5198211528165977
4805,4805,FLZ04,FLZ,FLZ04,FLZ,2900.0,2350.0,2900.0,2350.0,0.0,False,False,False,3637.7175163598467,0.1473104094020264
8713,8713,TN001,TN_major,NONE,NONE,1350.0,4300.0,1350.0,4300.0,204.0,False,False,False,4456.260526283921,0.7365520470101321
9302,9302,TN002,TN_major,NONE,NONE,500.0,4600.0,500.0,4600.0,188.0,False,False,True,4595.9299796794385,1.0
7413,7413,TN003,TN_major,NONE,NONE,2000.0,3650.0,2000.0,3650.0,180.0,False,False,False,4093.6983558673755,0.4324115932408432
3562,3562,TN004,TN_major,NONE,NONE,1350.0,1750.0,1350.0,1750.0,141.0,False,False,False,2130.2535245437925,0.4734320764739993
4282,4282,TN005,TN_major,NONE,NONE,2000.0,2100.0,2000.0,2100.0,115.0,False,False,False,2812.6544631062043,0.22079738749768443
8946,8946,TN006,TN_major,NONE,NONE,2900.0,4400.0,2900.0,4400.0,111.0,False,False,False,5194.642512130286,0.6695340634119862
3114,3114,TN007,TN_major,NONE,NONE,4200.0,1500.0,4200.0,1500.0,110.0,False,False,False,4353.359361324454,0.6801063077005524
6194,6194,TN008,TN_major,NONE,NONE,1650.0,3050.0,1650.0,3050.0,126.0,False,False,False,3399.9982910041663,0.34911132295373426
2836,2836,TN009,TN_major,NONE,NONE,400.0,1400.0,400.0,1400.0,103.0,False,False,False,1410.058288907324,0.8174668683537724
7321,7321,TN010,TN_major,NONE,NONE,2450.0,3600.0,2450.0,3600.0,82.0,False,False,False,4278.48742885044,0.37970199216457307
3709,3709,TN011,TN_major,NONE,NONE,3650.0,1800.0,3650.0,1800.0,80.0,False,False,False,3965.8232283891894,0.4642383454426297
1081,1081,TN012,TN_major,NONE,NONE,3550.0,500.0,3550.0,500.0,18.0,False,False,False,3477.5733422754006,0.7789211722811391
9510,9510,TN013,TN_minor,NONE,NONE,800.0,4700.0,800.0,4700.0,188.0,False,False,True,4730.225985945729,0.9587199154798514
8825,8825,TN014,TN_minor,NONE,NONE,1900.0,4350.0,1900.0,4350.0,171.0,False,False,False,4686.1553781448865,0.6706431151302319
6805,6805,TN015,TN_minor,NONE,NONE,1900.0,3350.0,1900.0,3350.0,165.0,False,False,False,3781.810641588398,0.358769862873876
6912,6912,TN016,TN_minor,NONE,NONE,2200.0,3400.0,2200.0,3400.0,154.0,False,False,False,3975.4430606954056,0.3271321717415565
8491,8491,TN017,TN_minor,NONE,NONE,350.0,4200.0,350.0,4200.0,141.0,False,False,True,4186.115093749364,0.9451358671493617
8325,8325,TN018,TN_minor,NONE,NONE,2150.0,4100.0,2150.0,4100.0,117.0,False,False,False,4562.6503239708445,0.5647703225572138
2962,2962,TN019,TN_minor,NONE,NONE,1650.0,1450.0,1650.0,1450.0,112.0,False,False,False,2104.1029392192886,0.46583641676228604
9357,9357,TN020,TN_minor,NONE,NONE,3250.0,4600.0,3250.0,4600.0,111.0,False,False,False,5554.6830583599685,0.7689345903785433
3209,3209,TN021,TN_minor,NONE,NONE,3900.0,1550.0,3900.0,1550.0,77.0,False,False,False,4090.9018723053296,0.583411183299608
5571,5571,TN022,TN_minor,NONE,NONE,800.0,2750.0,800.0,2750.0,107.0,False,False,False,2815.945494521556,0.5925117337048131
2127,2127,TN023,TN_minor,NONE,NONE,300.0,1050.0,300.0,1050.0,103.0,False,False,False,1047.1838081808992,0.9085732500865791
4888,4888,TN024,TN_minor,NONE,NONE,2000.0,2400.0,2000.0,2400.0,95.0,False,False,False,3041.1204725941475,0.17582825908940639
3446,3446,TN025,TN_minor,NONE,NONE,600.0,1700.0,600.0,1700.0,79.0,False,False,False,1750.265145089809,0.710880280278907
6219,6219,TN026,TN_minor,NONE,NONE,2900.0,3050.0,2900.0,3050.0,77.0,False,False,False,4121.111758837808,0.2345081122195766
4710,4710,TN027,TN_minor,NONE,NONE,3200.0,2300.0,3200.0,2300.0,77.0,False,False,False,3843.077975897868,0.2510382720441558
8337,8337,TN028,TN_minor,NONE,NONE,2750.0,4100.0,2750.0,4100.0,71.0,False,False,False,4861.182302571181,0.5584184393345396
3440,3440,TN029,TN_minor,NONE,NONE,300.0,1700.0,300.0,1700.0,68.0,False,False,False,1690.1943314649504,0.8072206834979052
4314,4314,TN030,TN_minor,NONE,NONE,3600.0,2100.0,3600.0,2100.0,69.0,False,False,False,4066.1037282429543,0.4036103417489526
888,888,TN031,TN_minor,NONE,NONE,4000.0,400.0,4000.0,400.0,18.0,False,False,False,3912.8250537053787,0.8898957172802716
448,448,TN032,TN_minor,NONE,NONE,2200.0,200.0,2200.0,200.0,10.0,False,False,False,2102.061821380261,0.7998216210167726
