node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,model_index,x_original,y_original,x_m,y_m,candidate_eligible,route_hit_count,route_hit_fraction,is_objective,objective_label,objective_prefix,candidate_id,candidate_type,candidate_route_hit_count,original_model_index,shifted_from_model_index,candidate_shifted,candidate_shift_distance_m,original_nofly_clearance_m,nofly_clearance_m,shift_reason,is_candidate
29,1450.0,0.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,29,1450.0,0.0,1450.0,0.0,False,0,0.0,False,,,,,,,,False,,,,,False
30,1500.0,0.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,30,1500.0,0.0,1500.0,0.0,False,0,0.0,False,,,,,,,,False,,,,,False
31,1550.0,0.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,31,1550.0,0.0,1550.0,0.0,False,0,0.0,False,,,,,,,,False,,,,,False
32,1600.0,0.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,32,1600.0,0.0,1600.0,0.0,False,0,0.0,False,,,,,,,,False,,,,,False
33,1650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,33,1650.0,0.0,1650.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
34,1700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,34,1700.0,0.0,1700.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
35,1750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,35,1750.0,0.0,1750.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
36,1800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,36,1800.0,0.0,1800.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
37,1850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,37,1850.0,0.0,1850.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
38,1900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,38,1900.0,0.0,1900.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
39,1950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,39,1950.0,0.0,1950.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
40,2000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,40,2000.0,0.0,2000.0,0.0,True,0,0.0,False,,,,,,,,False,,,,,False
