route_file,route_name,route_key,source_kind,status,reason,n_raw_points,n_dense_points,hit_nodes
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00020,edge_table,processed,"edge-table route_key=forward_main_01__part_00020; edges=10; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=665.7 m",11,19,184
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00021,edge_table,processed,"edge-table route_key=forward_main_01__part_00021; edges=28; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1586.4 m",29,38,401
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00022,edge_table,processed,"edge-table route_key=forward_main_01__part_00022; edges=70; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4618.4 m",71,125,1144
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00023,edge_table,processed,"edge-table route_key=forward_main_01__part_00023; edges=48; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2420.7 m",49,50,690
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00024,edge_table,processed,"edge-table route_key=forward_main_01__part_00024; edges=29; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1553.6 m",30,35,467
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00025,edge_table,processed,"edge-table route_key=forward_main_01__part_00025; edges=68; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=4124.9 m",69,104,895
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00026,edge_table,processed,"edge-table route_key=forward_main_01__part_00026; edges=63; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3709.2 m",64,91,879
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_main_01__part_00027,edge_table,processed,"edge-table route_key=forward_main_01__part_00027; edges=19; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=1032.8 m",20,24,321
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00000,edge_table,processed,"edge-table route_key=forward_backup_01__part_00000; edges=60; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3227.8 m",61,72,831
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00001,edge_table,processed,"edge-table route_key=forward_backup_01__part_00001; edges=42; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=2410.7 m",43,58,667
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00002,edge_table,processed,"edge-table route_key=forward_backup_01__part_00002; edges=51; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3026.3 m",52,75,495
output/thetastar_master_plan/all_route_edges_v4.csv,all_route_edges_v4.csv,forward_backup_01__part_00003,edge_table,processed,"edge-table route_key=forward_backup_01__part_00003; edges=62; order=file_order_after_reset_split; mode=meter; disconnected_gaps=0, edge_distance_sum=3824.9 m",63,98,929
