lon,lat,road_code,road_id,part_id,distance_m
105.53281852,20.98203438,7,16,0,25.00000000
105.53269563,20.98222855,7,16,0,50.00000000
105.53257275,20.98242272,7,16,0,75.00000000
105.53244987,20.98261690,7,16,0,100.00000000
105.53232698,20.98281107,7,16,0,125.00000000
105.53220410,20.98300525,7,16,0,150.00000000
105.53208121,20.98319942,7,16,0,175.00000000
105.53195833,20.98339360,7,16,0,200.00000000
105.53186149,20.98359905,7,16,0,225.00000000
105.53178411,20.98381292,7,16,0,250.00000000
105.53170673,20.98402679,7,16,0,275.00000000
105.53162934,20.98424067,7,16,0,300.00000000
105.53155196,20.98445454,7,16,0,325.00000000
105.53147457,20.98466841,7,16,0,350.00000000
105.53139719,20.98488228,7,16,0,375.00000000
105.53131980,20.98509615,7,16,0,400.00000000
105.53127170,20.98522910,7,16,0,415.54026403
105.52917930,20.98268099,7,17,0,0.00000000
105.52940912,20.98274759,7,17,0,25.00000000
105.52963894,20.98281419,7,17,0,50.00000000
105.52986877,20.98288079,7,17,0,75.00000000
105.53009796,20.98294923,7,17,0,100.00000000
105.53032639,20.98301993,7,17,0,125.00000000
105.53055482,20.98309062,7,17,0,150.00000000
105.53078454,20.98315751,7,17,0,175.00000000
105.53101452,20.98322363,7,17,0,200.00000000
105.53124450,20.98328975,7,17,0,225.00000000
105.53147477,20.98335496,7,17,0,250.00000000
105.53170511,20.98341996,7,17,0,275.00000000
105.53193489,20.98348654,7,17,0,300.00000000
105.53216091,20.98356379,7,17,0,325.00000000
105.53238676,20.98364144,7,17,0,350.00000000
105.53261256,20.98371924,7,17,0,375.00000000
105.53283836,20.98379704,7,17,0,400.00000000
105.53302110,20.98386000,7,17,0,420.23283483
105.52826700,20.98425860,7,18,0,0.00000000
105.52830469,20.98403551,7,18,0,25.00000000
105.52834239,20.98381242,7,18,0,50.00000000
105.52838008,20.98358932,7,18,0,75.00000000
105.52841778,20.98336623,7,18,0,100.00000000
105.52845407,20.98315141,7,18,0,124.07321165
105.52768270,20.98408520,7,19,0,0.00000000
105.52773119,20.98386395,7,19,0,25.00000000
105.52777965,20.98364270,7,19,0,50.00000000
105.52779338,20.98357997,7,19,0,57.08885614
105.52720357,20.98396255,7,20,0,0.00000000
105.52743575,20.98402149,7,20,0,25.00000000
105.52766767,20.98408132,7,20,0,50.00000000
105.52789593,20.98415245,7,20,0,75.00000000
105.52812445,20.98422273,7,20,0,100.00000000
105.52835497,20.98428676,7,20,0,125.00000000
105.52858262,20.98435965,7,20,0,150.00000000
105.52880944,20.98443466,7,20,0,175.00000000
105.52903332,20.98451722,7,20,0,200.00000000
105.52925811,20.98459704,7,20,0,225.00000000
105.52949166,20.98465072,7,20,0,250.00000000
105.52971903,20.98472437,7,20,0,275.00000000
105.52994640,20.98479802,7,20,0,300.00000000
105.53017293,20.98487392,7,20,0,325.00000000
105.53039917,20.98495060,7,20,0,350.00000000
105.53062540,20.98502728,7,20,0,375.00000000
105.53085310,20.98509997,7,20,0,400.00000000
105.53108160,20.98517046,7,20,0,425.00000000
105.53130994,20.98524141,7,20,0,450.00000000
105.53153746,20.98531465,7,20,0,475.00000000
105.53176269,20.98539386,7,20,0,500.00000000
105.53198731,20.98547460,7,20,0,525.00000000
105.53221194,20.98555534,7,20,0,550.00000000
105.53243657,20.98563607,7,20,0,575.00000000
105.53253290,20.98567070,7,20,0,585.72128144
105.53033990,20.98400040,7,21,0,0.00000000
105.53056379,20.98408291,7,21,0,25.00000000
105.53078769,20.98416542,7,21,0,50.00000000
105.53096780,20.98423180,7,21,0,70.11124438
105.53070570,20.98505450,7,22,0,0.00000000
105.53077464,20.98483810,7,22,0,25.00000000
105.53084359,20.98462169,7,22,0,50.00000000
105.53091253,20.98440529,7,22,0,75.00000000
105.53098238,20.98418915,7,22,0,100.00000000
105.53105588,20.98397407,7,22,0,125.00000000
105.53112938,20.98375899,7,22,0,150.00000000
105.53120289,20.98354392,7,22,0,175.00000000
105.53127639,20.98332884,7,22,0,200.00000000
105.53128570,20.98330160,7,22,0,203.16650239
105.52843450,20.98516990,8,23,0,0.00000000
105.52852498,20.98496061,8,23,0,25.00000000
105.52861546,20.98475132,8,23,0,50.00000000
105.52870593,20.98454203,8,23,0,75.00000000
105.52876020,20.98441650,8,23,0,89.99429433
105.52923690,20.98459230,8,24,0,0.00000000
105.52914170,20.98479973,8,24,0,25.00000000
105.52904649,20.98500717,8,24,0,50.00000000
105.52894909,20.98521369,8,24,0,75.00000000
105.52884080,20.98541186,8,24,0,100.00000000
105.52861652,20.98534673,8,24,0,125.00000000
105.52842469,20.98523014,8,24,0,150.00000000
105.52843450,20.98516990,8,24,0,156.89678257
105.52668300,20.98649460,7,25,0,0.00000000
105.52673827,20.98627476,7,25,0,25.00000000
105.52676840,20.98605145,7,25,0,50.00000000
105.52679278,20.98582682,7,25,0,75.00000000
105.52683706,20.98560509,7,25,0,100.00000000
105.52689115,20.98538500,7,25,0,125.00000000
105.52694533,20.98516493,7,25,0,150.00000000
105.52699480,20.98494387,7,25,0,175.00000000
105.52704531,20.98472305,7,25,0,200.00000000
105.52710624,20.98450454,7,25,0,225.00000000
105.52716913,20.98428651,7,25,0,250.00000000
105.52723276,20.98406868,7,25,0,275.00000000
105.52725980,20.98397610,7,25,0,285.62474699
105.52746290,20.98539800,7,26,0,0.00000000
105.52769921,20.98544008,7,26,0,25.00000000
105.52793551,20.98548217,7,26,0,50.00000000
105.52801600,20.98549650,7,26,0,58.51521689
105.53290210,20.98426550,7,27,0,0.00000000
105.53267351,20.98419525,7,27,0,25.00000000
105.53244492,20.98412500,7,27,0,50.00000000
105.53221634,20.98405475,7,27,0,75.00000000
105.53206680,20.98400880,7,27,0,91.35430730
105.53222180,20.98358460,7,28,0,0.00000000
105.53214373,20.98379825,7,28,0,25.00000000
105.53206567,20.98401191,7,28,0,50.00000000
105.53198761,20.98422556,7,28,0,75.00000000
105.53190955,20.98443922,7,28,0,100.00000000
105.53183150,20.98465288,7,28,0,125.00000000
105.53175344,20.98486653,7,28,0,150.00000000
105.53167537,20.98508019,7,28,0,175.00000000
105.53159730,20.98529384,7,28,0,200.00000000
105.53158420,20.98532970,7,28,0,204.19623796
105.53191460,20.98442540,7,29,0,0.00000000
105.53214312,20.98449585,7,29,0,25.00000000
105.53237164,20.98456630,7,29,0,50.00000000
105.53260015,20.98463675,7,29,0,75.00000000
105.53277710,20.98469130,7,29,0,94.35784115
105.53237200,20.98735860,7,30,0,0.00000000
105.53233517,20.98713538,7,30,0,25.00000000
105.53229962,20.98691200,7,30,0,50.00000000
105.53228952,20.98668711,7,30,0,75.00000000
105.53232868,20.98646472,7,30,0,100.00000000
105.53237990,20.98624405,7,30,0,125.00000000
105.53243837,20.98602494,7,30,0,150.00000000
105.53249684,20.98580583,7,30,0,175.00000000
105.53255108,20.98558583,7,30,0,200.00000000
105.53259852,20.98536438,7,30,0,225.00000000
105.53264596,20.98514294,7,30,0,250.00000000
105.53270860,20.98492489,7,30,0,275.00000000
105.53277246,20.98470711,7,30,0,300.00000000
105.53283638,20.98448935,7,30,0,325.00000000
105.53290031,20.98427160,7,30,0,350.00000000
105.53296422,20.98405383,7,30,0,375.00000000
105.53302777,20.98383598,7,30,0,400.00000000
105.53308850,20.98361742,7,30,0,425.00000000
105.53314923,20.98339885,7,30,0,450.00000000
105.53320999,20.98318029,7,30,0,475.00000000
105.53327074,20.98296174,7,30,0,500.00000000
105.53333150,20.98274318,7,30,0,525.00000000
105.53339225,20.98252462,7,30,0,550.00000000
105.53345300,20.98230606,7,30,0,575.00000000
105.53346100,20.98227730,7,30,0,578.29024739
105.53264950,20.98512640,7,31,0,0.00000000
105.53241982,20.98505936,7,31,0,25.00000000
105.53219014,20.98499231,7,31,0,50.00000000
105.53196047,20.98492527,7,31,0,75.00000000
105.53175400,20.98486500,7,31,0,97.47349698
105.53325460,20.98672460,7,32,0,0.00000000
105.53341093,20.98655294,7,32,0,25.00000000
105.53356726,20.98638128,7,32,0,50.00000000
105.53372387,20.98620984,7,32,0,75.00000000
105.53388344,20.98604083,7,32,0,100.00000000
105.53404302,20.98587183,7,32,0,125.00000000
105.53421740,20.98579681,7,32,0,150.00000000
105.53441546,20.98592496,7,32,0,175.00000000
105.53461929,20.98604355,7,32,0,200.00000000
105.53483101,20.98597495,7,32,0,225.00000000
105.53497906,20.98579715,7,32,0,250.00000000
105.53511270,20.98560945,7,32,0,275.00000000
105.53522317,20.98540908,7,32,0,300.00000000
105.53539421,20.98525461,7,32,0,325.00000000
105.53561387,20.98516280,7,32,0,350.00000000
105.53582494,20.98505713,7,32,0,375.00000000
105.53584338,20.98484191,7,32,0,400.00000000
105.53579679,20.98462034,7,32,0,425.00000000
105.53575939,20.98439726,7,32,0,450.00000000
105.53572906,20.98417318,7,32,0,475.00000000
105.53570161,20.98394883,7,32,0,500.00000000
105.53568328,20.98372360,7,32,0,525.00000000
105.53566356,20.98349859,7,32,0,550.00000000
105.53552183,20.98333108,7,32,0,575.00000000
105.53528657,20.98330138,7,32,0,600.00000000
105.53509333,20.98342016,7,32,0,625.00000000
105.53494654,20.98359909,7,32,0,650.00000000
105.53489600,20.98365970,7,32,0,658.52029193
105.53352490,20.98540920,7,33,0,0.00000000
105.53373209,20.98552392,7,33,0,25.00000000
105.53393928,20.98563864,7,33,0,50.00000000
105.53414647,20.98575336,7,33,0,75.00000000
105.53415430,20.98575770,7,33,0,75.94532059
105.53103960,20.98586110,7,34,0,0.00000000
105.53126690,20.98593495,7,34,0,25.00000000
105.53149420,20.98600881,7,34,0,50.00000000
105.53172150,20.98608266,7,34,0,75.00000000
105.53194879,20.98615652,7,34,0,100.00000000
105.53217609,20.98623037,7,34,0,125.00000000
105.53236700,20.98629240,7,34,0,145.99724751
105.53229420,20.98661980,7,35,0,0.00000000
105.53205374,20.98661469,7,35,0,25.00000000
105.53181329,20.98660958,7,35,0,50.00000000
105.53157283,20.98660447,7,35,0,75.00000000
105.53133260,20.98659690,7,35,0,100.00000000
105.53110640,20.98652806,7,35,0,125.00000000
105.53095366,20.98635753,7,35,0,150.00000000
105.53089280,20.98626100,7,35,0,162.41622065
105.53251420,20.98688150,7,36,0,0.00000000
105.53275463,20.98688744,7,36,0,25.00000000
105.53299499,20.98689001,7,36,0,50.00000000
105.53323535,20.98688174,7,36,0,75.00000000
105.53324240,20.98688150,7,36,0,75.73344020
105.53041270,20.98592480,7,37,0,0.00000000
105.53048521,20.98570943,7,37,0,25.00000000
105.53055772,20.98549405,7,37,0,50.00000000
105.53063023,20.98527868,7,37,0,75.00000000
105.53070274,20.98506330,7,37,0,100.00000000
105.53070570,20.98505450,7,37,0,101.02196666
105.52813810,20.98693160,7,38,0,0.00000000
105.52799340,20.98675116,7,38,0,25.00000000
105.52784871,20.98657073,7,38,0,50.00000000
105.52770401,20.98639029,7,38,0,75.00000000
105.52755932,20.98620986,7,38,0,100.00000000
105.52745511,20.98600644,7,38,0,125.00000000
105.52738860,20.98579594,7,38,0,150.00000000
105.52741281,20.98557167,7,38,0,175.00000000
105.52747050,20.98535260,7,38,0,200.00000000
105.52750786,20.98512946,7,38,0,225.00000000
105.52754522,20.98490632,7,38,0,250.00000000
105.52758258,20.98468318,7,38,0,275.00000000
105.52761994,20.98446003,7,38,0,300.00000000
105.52765730,20.98423689,7,38,0,325.00000000
105.52768270,20.98408520,7,38,0,341.99512772
105.52594890,20.98610810,2,39,0,0.00000000
105.52598916,20.98588540,2,39,0,25.00000000
105.52602954,20.98566273,2,39,0,50.00000000
105.52606993,20.98544005,2,39,0,75.00000000
105.52617207,20.98523711,2,39,0,100.00000000
105.52626840,20.98506640,2,39,0,121.38312003
105.52626840,20.98506640,2,40,0,0.00000000
105.52630442,20.98528974,2,40,0,25.00000000
105.52631617,20.98551286,2,40,0,50.00000000
105.52627581,20.98573554,2,40,0,75.00000000
105.52623545,20.98595822,2,40,0,100.00000000
105.52620120,20.98614750,2,40,0,121.24897796
105.53032420,20.98619410,7,41,0,0.00000000
105.53017044,20.98602041,7,41,0,25.00000000
105.53005570,20.98589080,7,41,0,43.65447444
105.53041270,20.98592480,7,42,0,0.00000000
105.53034177,20.98614064,7,42,0,25.00000000
105.53032420,20.98619410,7,42,0,31.19250035
105.53127170,20.98522910,7,43,0,0.00000000
105.53119328,20.98544264,7,43,0,25.00000000
105.53111486,20.98565618,7,43,0,50.00000000
105.53103644,20.98586972,7,43,0,75.00000000
105.53095804,20.98608327,7,43,0,100.00000000
105.53085668,20.98627786,7,43,0,125.00000000
105.53066283,20.98641087,7,43,0,150.00000000
105.53047169,20.98654800,7,43,0,175.00000000
105.53028055,20.98668511,7,43,0,200.00000000
105.53008943,20.98682224,7,43,0,225.00000000
105.52989831,20.98695938,7,43,0,250.00000000
105.52970719,20.98709651,7,43,0,275.00000000
105.52951605,20.98723363,7,43,0,300.00000000
105.52932491,20.98737074,7,43,0,325.00000000
105.52930350,20.98738610,7,43,0,327.80033936
105.52813810,20.98693160,7,44,0,0.00000000
105.52832399,20.98678827,7,44,0,25.00000000
105.52850989,20.98664493,7,44,0,50.00000000
105.52869629,20.98650219,7,44,0,75.00000000
105.52888337,20.98636022,7,44,0,100.00000000
105.52907044,20.98621825,7,44,0,125.00000000
105.52926048,20.98607980,7,44,0,150.00000000
105.52945183,20.98594296,7,44,0,175.00000000
105.52966735,20.98587651,7,44,0,200.00000000
105.52990768,20.98588535,7,44,0,225.00000000
105.53014762,20.98589955,7,44,0,250.00000000
105.53038691,20.98592234,7,44,0,275.00000000
105.53041270,20.98592480,7,44,0,277.69476474
105.52826700,20.98425860,7,45,0,0.00000000
105.52822201,20.98448050,7,45,0,25.00000000
105.52817702,20.98470239,7,45,0,50.00000000
105.52813202,20.98492429,7,45,0,75.00000000
105.52808703,20.98514618,7,45,0,100.00000000
105.52804204,20.98536808,7,45,0,125.00000000
