route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB01_to_DK02_forward_main_04,DB01_to_DK02,forward_main_04,forward,main,4,4845.584412271572,83,1,0,0:0.446
DB01_to_DK03_backward_backup_01,DB01_to_DK03,backward_backup_01,backward,backup,1,3824.873734152917,63,2,1;0,1:0.032;0:0.127
DB01_to_DK03_backward_backup_02,DB01_to_DK03,backward_backup_02,backward,backup,2,4342.031021678298,75,2,1;0,1:0.053;0:0.093
DB01_to_DK03_backward_backup_03,DB01_to_DK03,backward_backup_03,backward,backup,3,3995.584412271571,66,2,1;0,1:0.045;0:0.136
DB01_to_DK03_backward_backup_04,DB01_to_DK03,backward_backup_04,backward,backup,4,4724.873734152917,81,2,1;0,1:0.025;0:0.074
DB01_to_DK03_backward_main_01,DB01_to_DK03,backward_main_01,backward,main,1,3854.1630560342624,64,2,1;0,1:0.062;0:0.109
DB01_to_DK03_backward_main_02,DB01_to_DK03,backward_main_02,backward,main,2,4271.320343559642,74,2,1;0,1:0.054;0:0.203
DB01_to_DK03_backward_main_03,DB01_to_DK03,backward_main_03,backward,main,3,3966.2950903902256,65,2,1;0,1:0.062;0:0.108
DB01_to_DK03_backward_main_04,DB01_to_DK03,backward_main_04,backward,main,4,4583.452377915607,79,2,1;0,1:0.025;0:0.063
DB01_to_DK03_forward_backup_01,DB01_to_DK03,forward_backup_01,forward,backup,1,3824.8737341529168,63,2,0;1,0:0.190;1:0.032
DB01_to_DK03_forward_backup_02,DB01_to_DK03,forward_backup_02,forward,backup,2,4395.584412271572,74,2,0;1,0:0.122;1:0.041
DB01_to_DK03_forward_backup_03,DB01_to_DK03,forward_backup_03,forward,backup,3,4878.42712474619,82,2,0;1,0:0.049;1:0.024
DB01_to_DK03_forward_backup_04,DB01_to_DK03,forward_backup_04,forward,backup,4,4473.401871576774,71,2,0;1,0:0.592;1:0.028
DB01_to_DK03_forward_main_01,DB01_to_DK03,forward_main_01,forward,main,1,3824.8737341529168,63,2,0;1,0:0.190;1:0.032
DB01_to_DK03_forward_main_02,DB01_to_DK03,forward_main_02,forward,main,2,4366.295090390226,73,2,0;1,0:0.055;1:0.027
DB01_to_DK03_forward_main_03,DB01_to_DK03,forward_main_03,forward,main,3,4907.716446627535,83,2,0;1,0:0.024;1:0.012
DB01_to_DK03_forward_main_04,DB01_to_DK03,forward_main_04,forward,main,4,4373.401871576773,69,2,0;1,0:0.478;1:0.029
DB01_to_DK04_backward_backup_01,DB01_to_DK04,backward_backup_01,backward,backup,1,1598.528137423857,28,1,0,0:0.357
DB01_to_DK04_backward_backup_02,DB01_to_DK04,backward_backup_02,backward,backup,2,2122.792206135786,36,1,0,0:0.278
DB01_to_DK04_backward_backup_03,DB01_to_DK04,backward_backup_03,backward,backup,3,2729.8989873223336,44,1,0,0:0.182
DB01_to_DK04_backward_backup_04,DB01_to_DK04,backward_backup_04,backward,backup,4,2971.3203435596433,48,1,0,0:0.354
DB01_to_DK04_backward_main_01,DB01_to_DK04,backward_main_01,backward,main,1,1398.5281374238575,24,1,0,0:0.458
