edge_key,x1,y1,x2,y2,edge_distance_m,edge_hit_count,edge_visit_count,pair_hit_count,direction_hit_count,route_ids,pairs,directions
8824|8924,1850.0,4350.0,1800.0,4400.0,70.71067811865476,2,2,2,1,DK01_to_DK05_forward_main_03;DK01_to_DK06_forward_backup_02,DK01_to_DK05;DK01_to_DK06,forward
8825|8925,1875.0,4375.0,1875.0,4375.0,70.71067811865476,2,2,2,2,DB01_to_DK06_backward_main_04;DK01_to_DK06_forward_main_02,DB01_to_DK06;DK01_to_DK06,backward;forward
8826|8926,1900.0,4400.0,1950.0,4350.0,70.71067811865476,2,2,2,1,DB01_to_DK06_backward_backup_04;DK01_to_DK06_backward_backup_03,DB01_to_DK06;DK01_to_DK06,backward
8829|8830,2100.0,4350.0,2150.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_backup_03,DK03_to_DK05;DK03_to_DK06,backward
8829|8929,2100.0,4350.0,2050.0,4400.0,70.71067811865476,2,2,2,1,DB02_to_DK02_forward_main_03;DB02_to_DK06_forward_main_02,DB02_to_DK02;DB02_to_DK06,forward
8830|8831,2150.0,4350.0,2200.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_backup_03,DK03_to_DK05;DK03_to_DK06,backward
8831|8832,2200.0,4350.0,2250.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_backup_03,DK03_to_DK05;DK03_to_DK06,backward
8832|8833,2250.0,4350.0,2300.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_backup_03,DK03_to_DK05;DK03_to_DK06,backward
8833|8834,2300.0,4350.0,2350.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_backup_03,DK03_to_DK05;DK03_to_DK06,backward
8833|8933,2250.0,4400.0,2300.0,4350.0,70.71067811865476,2,2,2,1,DB02_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_04,DB02_to_DK05;DK01_to_DK06,backward
8835|8836,2400.0,4350.0,2450.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_main_03,DK03_to_DK05;DK03_to_DK06,backward
8836|8837,2450.0,4350.0,2500.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_main_03,DK03_to_DK05;DK03_to_DK06,backward
8837|8838,2500.0,4350.0,2550.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_main_03,DK03_to_DK05;DK03_to_DK06,backward
8838|8839,2550.0,4350.0,2600.0,4350.0,50.0,2,2,2,1,DK03_to_DK05_backward_backup_03;DK03_to_DK06_backward_main_03,DK03_to_DK05;DK03_to_DK06,backward
