road_class,n_segments,total_length_m,total_length_km
residential,2460,241331.65713483686,241.33165713483686
service_or_track,1178,132992.62517362426,132.99262517362425
non_motorized,698,68423.11276322251,68.4231127632225
tertiary,425,56595.23934203544,56.59523934203544
unclassified,184,34858.63105116612,34.85863105116612
expressway_or_trunk,140,28826.229527428128,28.82622952742813
primary,63,12050.328096837617,12.050328096837617
secondary,102,10702.534439855615,10.702534439855615
