version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v4,DB01_to_DB02,forward_main_01,DB01,DB02,forward,main,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3127.8174593052026,3.1278174593052026,201.89231868317347,59,818,0.3068959712982178,,False,False,False,True,,,,0,0,0.0,0.6258713116351043,0.37412868836489555,0.00293819786688865,1.002350558293511,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_main_01.csv
v4,DB01_to_DB02,forward_backup_01,DB01,DB02,forward,backup,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3227.8174593052026,3.2278174593052027,207.57169839025528,61,100,0.03855490684509277,45.08196721311475,False,False,False,True,,50.0,strict_lock,0,55,0.0,0.6348695718411467,0.3651304281588532,0.003127179689078857,1.002501743751263,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_backup_01.csv
v4,DB01_to_DB02,forward_main_02,DB01,DB02,forward,main,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3934.9242404917504,3.9349242404917506,254.8676659339478,71,1081,0.41022324562072754,,False,False,False,True,200.0,,strict_lock,0,65,0.0,0.6392714480986939,0.3607285519013062,0.006601059031640316,1.005280847225312,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_main_02.csv
v4,DB01_to_DB02,forward_backup_02,DB01,DB02,forward,backup,2,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3752.081528017131,3.752081528017131,242.13693157061007,69,141,0.052912235260009766,48.55072463768116,False,False,False,True,,50.0,strict_lock,0,63,0.0,0.6397662283111719,0.36023377168882814,0.005465933698546284,1.0043727469588375,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_backup_02.csv
v4,DB01_to_DB02,forward_main_03,DB01,DB02,forward,main,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4183.452377915607,4.183452377915607,302.9465413010839,71,968,0.3537297248840332,,False,False,False,True,200.0,,strict_lock,0,64,0.0,0.3786291916351967,0.6213708083648031,0.003217003897545106,1.002573603118036,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_main_03.csv
v4,DB01_to_DB02,forward_backup_03,DB01,DB02,forward,backup,3,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4283.452377915608,4.283452377915608,310.05969542551065,73,99,0.037944793701171875,45.205479452054796,False,False,False,True,,50.0,strict_lock,0,66,0.0,0.38005548450591753,0.6199445154940825,0.0036332128899782836,1.0029065703119826,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_backup_03.csv
v4,DB01_to_DB02,forward_main_04,DB01,DB02,forward,main,4,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3327.8174593052026,3.327817459305203,213.4024267738272,63,487,0.18244028091430664,,False,False,False,True,50.0,,strict_lock,0,57,0.0,0.641166293314229,0.35883370668577114,0.0035264097163135552,1.0028211277730505,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_main_04.csv
v4,DB01_to_DB02,forward_backup_04,DB01,DB02,forward,backup,4,True,Path found. [Theta* base path from project A*] [safe fallback attempted],3427.817459305202,3.427817459305202,241.5215168622186,65,72,0.028263330459594727,48.46153846153846,False,False,False,True,,50.0,strict_lock,0,57,0.0,0.6448694529835138,0.3551305470164861,0.004222136902606762,1.0033777095220855,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_backup_04.csv
v4,DB01_to_DB02,backward_main_01,DB02,DB01,backward,main,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4424.873734152917,4.424873734152917,320.1248924164637,75,1858,0.6764881610870361,,False,False,False,True,50.0,,strict_lock,0,68,0.0,0.38073023372756815,0.6192697662724317,0.004331459180933129,1.0034651673447463,output/thetastar_master_plan/route_nodes/DB01_to_DB02_backward_main_01.csv
v4,DB01_to_DB02,backward_backup_01,DB02,DB01,backward,backup,1,True,Path found. [Theta* base path from project A*] [safe fallback attempted],4283.452377915608,4.283452377915608,310.05969542551065,73,151,0.05939507484436035,45.89041095890411,False,False,False,True,,50.0,strict_lock,0,66,0.0,0.3800554845059176,0.6199445154940825,0.0036332128899782836,1.0029065703119824,output/thetastar_master_plan/route_nodes/DB01_to_DB02_backward_backup_01.csv
