pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DB01_to_DB02,forward,main,48,3105,3106,3750.0,1500.0,3800.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,49,3106,3107,3800.0,1500.0,3850.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,50,3107,3108,3850.0,1500.0,3900.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,51,3108,3109,3900.0,1500.0,3950.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,52,3109,3110,3950.0,1500.0,4000.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,53,3110,3111,4000.0,1500.0,4050.0,1500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,54,3111,3011,4050.0,1500.0,4100.0,1450.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,55,3011,2911,4100.0,1450.0,4150.0,1400.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,56,2911,2811,4150.0,1400.0,4200.0,1350.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,57,2811,2711,4200.0,1350.0,4250.0,1300.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,backup,0,2956,3058,1350.0,1450.0,1400.0,1500.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,1,3058,3160,1400.0,1500.0,1450.0,1550.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,2,3160,3261,1450.0,1550.0,1450.0,1600.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,3,3261,3363,1450.0,1600.0,1500.0,1650.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,4,3363,3465,1500.0,1650.0,1550.0,1700.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,5,3465,3466,1550.0,1700.0,1600.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,6,3466,3467,1600.0,1700.0,1650.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,7,3467,3468,1650.0,1700.0,1700.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,8,3468,3469,1700.0,1700.0,1750.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,9,3469,3470,1750.0,1700.0,1800.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,10,3470,3471,1800.0,1700.0,1850.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,11,3471,3472,1850.0,1700.0,1900.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,12,3472,3473,1900.0,1700.0,1950.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,13,3473,3474,1950.0,1700.0,2000.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,14,3474,3475,2000.0,1700.0,2050.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,15,3475,3476,2050.0,1700.0,2100.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,16,3476,3477,2100.0,1700.0,2150.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,17,3477,3478,2150.0,1700.0,2200.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,18,3478,3479,2200.0,1700.0,2250.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,19,3479,3480,2250.0,1700.0,2300.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,20,3480,3481,2300.0,1700.0,2350.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,21,3481,3482,2350.0,1700.0,2400.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,22,3482,3483,2400.0,1700.0,2450.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,23,3483,3484,2450.0,1700.0,2500.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,24,3484,3485,2500.0,1700.0,2550.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,25,3485,3486,2550.0,1700.0,2600.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,26,3486,3487,2600.0,1700.0,2650.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,27,3487,3488,2650.0,1700.0,2700.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,28,3488,3489,2700.0,1700.0,2750.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,29,3489,3490,2750.0,1700.0,2800.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,30,3490,3491,2800.0,1700.0,2850.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,31,3491,3492,2850.0,1700.0,2900.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,32,3492,3493,2900.0,1700.0,2950.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,33,3493,3494,2950.0,1700.0,3000.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,34,3494,3495,3000.0,1700.0,3050.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,35,3495,3496,3050.0,1700.0,3100.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,36,3496,3497,3100.0,1700.0,3150.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,37,3497,3498,3150.0,1700.0,3200.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,38,3498,3499,3200.0,1700.0,3250.0,1700.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,39,3499,3399,3250.0,1700.0,3300.0,1650.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,40,3399,3299,3300.0,1650.0,3350.0,1600.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,41,3299,3199,3350.0,1600.0,3400.0,1550.0,70.71067811865476,1,forward_backup_01
DB01_to_DB02,forward,backup,42,3199,3200,3400.0,1550.0,3450.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,43,3200,3201,3450.0,1550.0,3500.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,44,3201,3202,3500.0,1550.0,3550.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,45,3202,3203,3550.0,1550.0,3600.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,46,3203,3204,3600.0,1550.0,3650.0,1550.0,50.0,1,forward_backup_01
DB01_to_DB02,forward,backup,47,3204,3205,3650.0,1550.0,3700.0,1550.0,50.0,1,forward_backup_01
